S/N,cDen,Pot,Sn %,pH,weight,Cu %,C2H4,CO,H2,EtoH,FORM
1,150,3.5,1.0,14.05,118.71,0.0,0.0,0.23,0.12,0.0,0.61
2,150,3.3,0.8,14.05,107.6772,0.19999999999999996,0.0,0.23,0.07,0.0,0.66
3,150,3.2,0.5,14.05,91.128,0.5,0.0,0.34,0.05,0.03,0.52
4,150,3.1,0.1,14.05,69.0624,0.9,0.01,0.42,0.05,0.02,0.42
5,150,3.0,0.05,14.05,66.3042,0.95,0.04,0.48,0.05,0.1,0.19
6,150,3.0,0.03,14.05,65.20092,0.97,0.07,0.5,0.05,0.11,0.14
7,150,2.8,0.0,14.05,63.546,1.0,0.15,0.47,0.11,0.06,0.11
8,250,4.0,1.0,14.05,118.71,0.0,0.0,0.22,0.12,0.0,0.63
9,250,3.8,0.8,14.05,107.6772,0.19999999999999996,0.0,0.17,0.1,0.0,0.7
10,250,3.7,0.5,14.05,91.128,0.5,0.02,0.36,0.08,0.02,0.48
11,250,3.6,0.1,14.05,69.0624,0.9,0.06,0.23,0.07,0.12,0.42
12,250,3.6,0.05,14.05,66.3042,0.95,0.08,0.12,0.07,0.32,0.23
13,250,3.5,0.03,14.05,65.20092,0.97,0.09,0.05,0.06,0.48,0.09
14,250,3.2,0.0,14.05,63.546,1.0,0.31,0.15,0.15,0.14,0.09
15,350,4.3,1.0,14.05,118.71,0.0,0.0,0.22,0.12,0.0,0.63
16,350,4.2,0.8,14.05,107.6772,0.19999999999999996,0.0,0.17,0.1,0.0,0.7
17,350,4.1,0.5,14.05,91.128,0.5,0.02,0.36,0.08,0.02,0.48
18,350,4.1,0.1,14.05,69.0624,0.9,0.06,0.23,0.07,0.12,0.42
19,350,4.0,0.05,14.05,66.3042,0.95,0.08,0.12,0.07,0.32,0.23
20,350,4.0,0.03,14.05,65.20092,0.97,0.09,0.05,0.06,0.48,0.09
21,350,3.6,0.0,14.05,63.546,1.0,0.31,0.15,0.15,0.14,0.09
22,450,4.7,1.0,14.05,118.71,0.0,0.0,0.18,0.37,0.0,0.33
23,450,4.6,0.8,14.05,107.6772,0.19999999999999996,0.0,0.1,0.32,0.0,0.5
24,450,4.6,0.5,14.05,91.128,0.5,0.02,0.19,0.33,0.02,0.39
25,450,4.5,0.1,14.05,69.0624,0.9,0.03,0.1,0.3,0.07,0.37
26,450,4.5,0.05,14.05,66.3042,0.95,0.06,0.1,0.29,0.21,0.14
27,450,4.4,0.03,14.05,65.20092,0.97,0.1,0.05,0.27,0.26,0.09
28,450,4.2,0.0,14.05,63.546,1.0,0.25,0.09,0.28,0.11,0.08
29,141,4.0,1.0,8.02,118.71,0.0,0.0,0.22,0.16,0.0,0.59
30,143,4.0,0.8,8.02,107.6772,0.19999999999999996,0.0,0.19,0.13,0.0,0.62
31,143,4.0,0.5,8.02,91.128,0.5,0.01,0.27,0.1,0.02,0.56
32,145,4.0,0.1,8.02,69.0624,0.9,0.11,0.33,0.1,0.04,0.38
33,149,4.0,0.05,8.02,66.3042,0.95,0.21,0.28,0.1,0.14,0.19
34,150,4.0,0.03,8.02,65.20092,0.97,0.24,0.18,0.09,0.25,0.14
35,150,4.0,0.0,8.02,63.546,1.0,0.37,0.13,0.17,0.11,0.07
