# c0 + a0 * ((pH - Pot) * (Cu % / cDen)) + a1 * (|cbrt(Sn %) - weight|)
# Property Label: $C2H4$; Unit of the Property: Unitless
# RMSE: 0.0253605986870445; Max AE: 0.0552495419608132
# Coefficients
# Task   a0                      a1                      c0
# all , -7.847390026992267e-02,  5.629556880699490e-01, -1.521517168448162e-03, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         3|1|sub|5|0|div|mult; ((pH - Pot) * (Cu % / cDen)); $\left(\left(pH - Pot\right) \left(\frac{ Cu % }{ cDen } \right)\right)$; ((pH - Pot) .* (Cu % ./ cDen)); pH,Pot,Cu %,cDen
# 1;  2; Unitless;                                         2|cbrt|4|abd; (|cbrt(Sn %) - weight|); $\left(\left|\left(\sqrt[3]{ Sn % }\right) - weight\right|\right)$; abs(nthroot(Sn %, 3) - weight); Sn %,weight
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
1           ,  0.000000000000000e+00, -1.521517168448162e-03,  0.000000000000000e+00,  0.000000000000000e+00
2           ,  0.000000000000000e+00, -3.579968398290846e-03,  1.787234042553191e-01,  2.125686199675347e-02
3           ,  0.000000000000000e+00, -2.442479137223646e-02,  4.787234042553192e-01,  2.604826416959383e-02
4           ,  1.000000000000000e-02, -7.438580084233498e-03,  9.191489361702130e-01,  1.176151879048328e-01
5           ,  4.000000000000000e-02,  2.462180504528074e-02,  1.030851063829787e+00,  1.901361475835226e-01
6           ,  7.000000000000001e-02,  5.015792259139953e-02,  1.052553191489362e+00,  2.385221373247557e-01
7           ,  1.500000000000000e-01,  2.046607344626404e-01,  1.212765957446809e+00,  5.353045236290119e-01
8           ,  0.000000000000000e+00, -1.521517168448162e-03,  0.000000000000000e+00,  0.000000000000000e+00
9           ,  0.000000000000000e+00,  5.035464056875131e-03,  6.893617021276595e-02,  2.125686199675347e-02
10          ,  2.000000000000000e-02, -1.884415762790584e-03,  1.914893617021276e-01,  2.604826416959383e-02
11          ,  6.000000000000000e-02,  3.493732606152477e-02,  3.791489361702127e-01,  1.176151879048328e-01
12          ,  8.000000000000000e-02,  7.411045193890860e-02,  4.002127659574468e-01,  1.901361475835226e-01
13          ,  9.000000000000000e-02,  9.777321382326455e-02,  4.457872340425532e-01,  2.385221373247557e-01
14          ,  3.100000000000000e-01,  2.547504580391868e-01,  5.744680851063829e-01,  5.353045236290119e-01
15          ,  0.000000000000000e+00, -1.521517168448162e-03,  0.000000000000000e+00,  0.000000000000000e+00
16          ,  0.000000000000000e+00,  8.298451764147296e-03,  2.735562310030395e-02,  2.125686199675347e-02
17          ,  2.000000000000000e-02,  6.702393993188792e-03,  8.206686930091189e-02,  2.604826416959383e-02
18          ,  6.000000000000000e-02,  5.309842869542115e-02,  1.477203647416414e-01,  1.176151879048328e-01
19          ,  8.000000000000000e-02,  9.124113740208746e-02,  1.819148936170213e-01,  1.901361475835226e-01
20          ,  9.000000000000000e-02,  1.181797672083496e-01,  1.857446808510638e-01,  2.385221373247557e-01
21          ,  3.100000000000000e-01,  2.762174824291352e-01,  3.009118541033434e-01,  5.353045236290119e-01
22          ,  0.000000000000000e+00, -1.521517168448162e-03,  0.000000000000000e+00,  0.000000000000000e+00
23          ,  0.000000000000000e+00,  1.011122271263183e-02,  4.255319148936196e-03,  2.125686199675347e-02
24          ,  2.000000000000000e-02,  1.230767258389755e-02,  1.063829787234050e-02,  2.604826416959383e-02
25          ,  3.000000000000000e-02,  6.168523845140053e-02,  3.829787234042559e-02,  1.176151879048328e-01
26          ,  6.000000000000000e-02,  1.023443594615552e-01,  4.042553191489368e-02,  1.901361475835226e-01
27          ,  1.000000000000000e-01,  1.278971735821995e-01,  6.191489361702126e-02,  2.385221373247557e-01
28          ,  2.500000000000000e-01,  2.914829219953208e-01,  1.063829787234043e-01,  5.353045236290119e-01
29          ,  0.000000000000000e+00, -1.521517168448162e-03, -0.000000000000000e+00,  0.000000000000000e+00
30          ,  0.000000000000000e+00,  2.428623761415028e-02, -1.763781762267413e-01,  2.125686199675347e-02
31          ,  1.000000000000000e-02,  4.774520983769372e-02, -4.409454405668536e-01,  2.604826416959383e-02
32          ,  1.100000000000000e-01,  1.261163954865709e-01, -7.827541820821250e-01,  1.176151879048328e-01
33          ,  2.100000000000000e-01,  1.686143992719219e-01, -8.040595718255981e-01,  1.901361475835226e-01
34          ,  2.400000000000000e-01,  1.967524327671559e-01, -8.155138941470436e-01,  2.385221373247557e-01
35          ,  3.700000000000000e-01,  3.658070401838840e-01, -8.407359733474675e-01,  5.353045236290119e-01
