# c0 + a0 * (|(Pot^3) - (|Cu % - cDen|)|) + a1 * ((pH - Pot) * (|Cu % - cDen|)) + a2 * (|cbrt(Sn %) - weight|)
# Property Label: $C2H4$; Unit of the Property: Unitless
# RMSE: 0.0197156892111356; Max AE: 0.0485548585028596
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -7.776031778427796e-02, -3.259503253435158e-01,  5.593915282365148e-01,  2.235363274912375e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         1|cb|5|0|abd|abd; (|(Pot^3) - (|Cu % - cDen|)|); $\left(\left|\left(Pot^3\right) - \left(\left|Cu % - cDen\right|\right)\right|\right)$; abs((Pot).^3 - abs(Cu % - cDen)); Pot,Cu %,cDen
# 1;  2; Unitless;                                         3|1|sub|5|0|abd|mult; ((pH - Pot) * (|Cu % - cDen|)); $\left(\left(pH - Pot\right) \left(\left|Cu % - cDen\right|\right)\right)$; ((pH - Pot) .* abs(Cu % - cDen)); pH,Pot,Cu %,cDen
# 2;  2; Unitless;                                         2|cbrt|4|abd; (|cbrt(Sn %) - weight|); $\left(\left|\left(\sqrt[3]{ Sn % }\right) - weight\right|\right)$; abs(nthroot(Sn %, 3) - weight); Sn %,weight
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
1           ,  0.000000000000000e+00, -1.157880555417956e-02,  7.962911236752290e-02,  8.510638297872342e-02,  0.000000000000000e+00
2           ,  0.000000000000000e+00,  4.751302017048109e-03,  2.128038424369678e-01,  3.971631205673763e-02,  2.125686199675347e-02
3           ,  0.000000000000000e+00,  8.004830064195485e-03,  1.489474072861183e-01,  5.319148936170214e-02,  2.604826416959383e-02
4           ,  1.000000000000000e-02,  3.516598584423537e-03,  2.797263933168309e-01,  1.929078014184397e-01,  1.176151879048328e-01
5           ,  4.000000000000000e-02,  2.828107389288278e-02,  3.566086833681684e-01,  2.230496453900710e-01,  1.901361475835226e-01
6           ,  7.000000000000001e-02,  5.143464176002033e-02,  3.766086833681684e-01,  2.302836879432625e-01,  2.385221373247557e-01
7           ,  1.500000000000000e-01,  1.985548585028596e-01,  4.552298944678284e-01,  2.695035460992908e-01,  5.353045236290119e-01
8           ,  0.000000000000000e+00, -9.350159154289399e-03,  6.087818263347766e-02,  8.274231678486997e-02,  0.000000000000000e+00
9           ,  0.000000000000000e+00, -1.397193052851267e-03,  1.729593207242666e-01,  6.808510638297877e-02,  2.125686199675347e-02
10          ,  2.000000000000000e-02, -5.455921003392804e-04,  4.323228528895867e-01,  1.182033096926714e-02,  2.604826416959383e-02
11          ,  6.000000000000000e-02,  5.371036138884349e-02,  1.049357506953608e-01,  8.061465721040190e-02,  1.176151879048328e-01
12          ,  8.000000000000000e-02,  9.435167542404871e-02,  5.493575069536083e-02,  9.231678486997634e-02,  1.901361475835226e-01
13          ,  9.000000000000000e-02,  1.211750248011003e-01,  1.481998743588175e-03,  1.058156028368794e-01,  2.385221373247557e-01
14          ,  3.100000000000000e-01,  2.655464690429707e-01,  1.288303704916594e-01,  1.418439716312057e-01,  5.353045236290119e-01
15          ,  0.000000000000000e+00, -1.541604948219201e-04,  1.198407118097400e-02,  6.619385342789608e-02,  0.000000000000000e+00
16          ,  0.000000000000000e+00,  3.648259838731026e-03,  1.358213283933015e-01,  6.146572104018917e-02,  2.125686199675347e-02
17          ,  2.000000000000000e-02, -4.653387855029455e-03,  3.860539358116964e-01,  3.546099290780144e-02,  2.604826416959383e-02
18          ,  6.000000000000000e-02,  4.094509653420147e-02,  5.416094913672520e-01,  1.560283687943263e-02,  1.176151879048328e-01
19          ,  8.000000000000000e-02,  8.581148990039046e-02,  4.442115159668111e-01,  2.565011820330968e-02,  1.901361475835226e-01
20          ,  9.000000000000000e-02,  1.134624931399354e-01,  4.242115159668111e-01,  2.862884160756500e-02,  2.385221373247557e-01
21          ,  3.100000000000000e-01,  2.871820729421297e-01,  2.271579729175830e-01,  5.200945626477541e-02,  5.353045236290119e-01
22          ,  0.000000000000000e+00,  2.235363274912375e-02,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00
23          ,  0.000000000000000e+00,  1.800295579804004e-02,  1.375186615682455e-01,  1.702127659574480e-02,  2.125686199675347e-02
24          ,  2.000000000000000e-02, -5.643357618280607e-04,  4.375186615682456e-01,  1.063829787234050e-02,  2.604826416959383e-02
25          ,  3.000000000000000e-02,  2.628568551767439e-02,  7.776956936324320e-01,  4.255319148936175e-03,  1.176151879048328e-01
26          ,  6.000000000000000e-02,  6.365879142281959e-02,  8.276956936324319e-01,  2.127659574468090e-03,  1.901361475835226e-01
27          ,  1.000000000000000e-01,  9.368928003002179e-02,  7.904733055296033e-01,  1.914893617021278e-03,  2.385221373247557e-01
28          ,  2.500000000000000e-01,  2.663087550274365e-01,  7.135991061710795e-01,  0.000000000000000e+00,  5.353045236290119e-01
29          ,  0.000000000000000e+00,  2.740621274679769e-02,  3.031004048556999e-01, -8.781020166073550e-02,  0.000000000000000e+00
30          ,  0.000000000000000e+00,  6.227430649398341e-03,  4.986559604112554e-01, -3.300667154623393e-02,  2.125686199675347e-02
31          ,  1.000000000000000e-02,  1.980566665874793e-02,  4.342115159668110e-01, -5.106692578851284e-02,  2.604826416959383e-02
32          ,  1.100000000000000e-01,  1.379183931710915e-01,  3.865596041125552e-02, -1.619195207928456e-01,  1.176151879048328e-01
33          ,  2.100000000000000e-01,  1.850563279056585e-01,  2.455150699855579e-03, -1.734407174646442e-01,  1.901361475835226e-01
34          ,  2.400000000000000e-01,  2.123645648637263e-01,  2.023292847763347e-02, -1.784228565659626e-01,  2.385221373247557e-01
35          ,  3.700000000000000e-01,  3.787896895990216e-01,  5.023292847763350e-02, -1.868302162994372e-01,  5.353045236290119e-01
