# c0 + a0 * (|(Sn % / Pot) - (weight^3)|) + a1 * (|(pH * Pot) - sqrt(cDen)|) + a2 * ((pH - Pot) * (Cu % / cDen)) + a3 * ((Cu % / Pot) - (Cu % / pH)) + a4 * ((Cu %^6) * (Cu % - pH)) + a5 * (cbrt(Sn %) - cos(Cu %))
# Property Label: $C2H4$; Unit of the Property: Unitless
# RMSE: 0.00996316476891841; Max AE: 0.0199472248460496
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      a5                      c0
# all , -2.066222976907354e-01,  5.316870806624426e-01, -3.948118857569158e-01,  7.149525683414504e-01,  6.202962710143880e-01, -3.429464114810739e-01, -4.914360452691078e-03, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|1|div|4|cb|abd; (|(Sn % / Pot) - (weight^3)|); $\left(\left|\left(\frac{ Sn % }{ Pot } \right) - \left(weight^3\right)\right|\right)$; abs((Sn % ./ Pot) - (weight).^3); Sn %,Pot,weight
# 1;  2; Unitless;                                         3|1|mult|0|sqrt|abd; (|(pH * Pot) - sqrt(cDen)|); $\left(\left|\left(pH Pot\right) - \left(\sqrt{ cDen }\right)\right|\right)$; abs((pH .* Pot) - sqrt(cDen)); pH,Pot,cDen
# 2;  2; Unitless;                                         3|1|sub|5|0|div|mult; ((pH - Pot) * (Cu % / cDen)); $\left(\left(pH - Pot\right) \left(\frac{ Cu % }{ cDen } \right)\right)$; ((pH - Pot) .* (Cu % ./ cDen)); pH,Pot,Cu %,cDen
# 3;  2; Unitless;                                         5|1|div|5|3|div|sub; ((Cu % / Pot) - (Cu % / pH)); $\left(\left(\frac{ Cu % }{ Pot } \right) - \left(\frac{ Cu % }{ pH } \right)\right)$; ((Cu % ./ Pot) - (Cu % ./ pH)); Cu %,Pot,Cu %,pH
# 4;  2; Unitless;                                         5|sp|5|3|sub|mult; ((Cu %^6) * (Cu % - pH)); $\left(\left(Cu %^6\right) \left(Cu % - pH\right)\right)$; ((Cu %).^6 .* (Cu % - pH)); Cu %,Cu %,pH
# 5;  2; Unitless;                                         2|cbrt|5|cos|sub; (cbrt(Sn %) - cos(Cu %)); $\left(\left(\sqrt[3]{ Sn % }\right) - \left(\cos{ Cu % }\right)\right)$; (nthroot(Sn %, 3) - cos(Cu %)); Sn %,Cu %
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      ,  Feature 5 Value      
1           ,  0.000000000000000e+00,  1.321121749272871e-02,  3.428571428571430e-01,  1.673305818742040e-01,  0.000000000000000e+00,  0.000000000000000e+00, -0.000000000000000e+00,  0.000000000000000e+00
2           ,  0.000000000000000e+00, -1.197943324746491e-02,  3.931009766651457e-01,  1.247773903848423e-01,  1.787234042553191e-01,  8.484848484848484e-02, -5.119999999999985e-05, -5.174881111868579e-02
3           ,  0.000000000000000e+00, -5.670591189624787e-03,  2.820052024206793e-01,  1.035007946401615e-01,  4.787234042553192e-01,  2.343750000000000e-01, -7.812500000000000e-03, -8.388203590627297e-02
4           ,  1.000000000000000e-02,  1.969250495066766e-02,  4.529497143174974e-02,  8.222419889548060e-02,  9.191489361702130e-01,  4.645161290322583e-01, -5.314410000000001e-02, -1.574510849093865e-01
5           ,  4.000000000000000e-02,  3.590852981398443e-02,  9.591201912397189e-02,  6.094760315079972e-02,  1.030851063829787e+00,  5.383333333333336e-01, -3.675459453125003e-02, -2.132799395998449e-01
6           ,  7.000000000000001e-02,  5.219688270207216e-02,  1.186911286828179e-01,  6.094760315079972e-02,  1.052553191489362e+00,  5.496666666666667e-01, -2.498916014787002e-02, -2.545762805649685e-01
7           ,  1.500000000000000e-01,  1.647982088183188e-01,  1.533920106944799e-01,  1.839441166143807e-02,  1.212765957446809e+00,  6.785714285714286e-01,  0.000000000000000e+00, -5.403023058681398e-01
8           ,  0.000000000000000e+00,  1.513022886185746e-02,  1.750000000000000e-01,  1.057078372873042e-01,  0.000000000000000e+00,  0.000000000000000e+00, -0.000000000000000e+00,  0.000000000000000e+00
9           ,  0.000000000000000e+00,  2.782254209026748e-03,  2.431807214817324e-01,  6.315464579794239e-02,  6.893617021276595e-02,  4.736842105263156e-02, -5.119999999999985e-05, -5.174881111868579e-02
10          ,  2.000000000000000e-02,  2.452217826646967e-02,  1.827653375558144e-01,  4.187805005326162e-02,  1.914893617021276e-01,  1.351351351351351e-01, -7.812500000000000e-03, -8.388203590627297e-02
11          ,  6.000000000000000e-02,  6.028094533494355e-02,  6.635231910200065e-02,  2.060145430858074e-02,  3.791489361702127e-01,  2.750000000000000e-01, -5.314410000000001e-02, -1.574510849093865e-01
12          ,  8.000000000000000e-02,  8.339497391127525e-02,  1.089675746795275e-01,  2.060145430858074e-02,  4.002127659574468e-01,  2.902777777777779e-01, -3.675459453125003e-02, -2.132799395998449e-01
13          ,  9.000000000000000e-02,  1.031090861687928e-01,  1.254054143971036e-01,  6.751414361001462e-04,  4.457872340425532e-01,  3.325714285714285e-01, -2.498916014787002e-02, -2.545762805649685e-01
