# c0 + a0 * (|(cDen / pH) - cos(Pot)|) + a1 * (|(|Sn % - Pot|) - (exp(-1.0 * weight))|) + a2 * (|(Cu %^6) - (|weight - cDen|)|) + a3 * ((|Pot - cDen|) / (Pot^6))
# Property Label: $CO$; Unit of the Property: Unitless
# RMSE: 0.0391037879070609; Max AE: 0.0836659897286594
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -2.740000236048520e-01, -3.111359138553260e-01, -2.917950633181211e-01,  8.147155720978794e-02,  3.764992147354106e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|3|div|1|cos|abd; (|(cDen / pH) - cos(Pot)|); $\left(\left|\left(\frac{ cDen }{ pH } \right) - \left(\cos{ Pot }\right)\right|\right)$; abs((cDen ./ pH) - cos(Pot)); cDen,pH,Pot
# 1;  2; Unitless;                                         2|1|abd|4|nexp|abd; (|(|Sn % - Pot|) - (exp(-1.0 * weight))|); $\left(\left|\left(\left|Sn % - Pot\right|\right) - \left(\exp{ \left(-weight \right) } \right)\right|\right)$; abs(abs(Sn % - Pot) - exp(-1.0 * (weight))); Sn %,Pot,weight
# 2;  2; Unitless;                                         5|sp|4|0|abd|abd; (|(Cu %^6) - (|weight - cDen|)|); $\left(\left|\left(Cu %^6\right) - \left(\left|weight - cDen\right|\right)\right|\right)$; abs((Cu %).^6 - abs(weight - cDen)); Cu %,weight,cDen
# 3;  2; Unitless;                                         1|0|abd|1|sp|div; ((|Pot - cDen|) / (Pot^6)); $\left(\frac{ \left(\left|Pot - cDen\right|\right) }{ \left(Pot^6\right) } \right)$; (abs(Pot - cDen) ./ (Pot).^6); Pot,cDen,Pot
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
1           ,  2.300000000000000e-01,  2.333217140243261e-01,  4.019709055898228e-01,  1.125602922352721e-01,  6.666666666666667e-01,  2.412058087996215e+00
2           ,  2.300000000000000e-01,  2.468733403025607e-01,  4.301364478601404e-01,  3.058366809159112e-01,  5.736635713924690e-01,  3.078135540399662e+00
3           ,  3.400000000000000e-01,  3.288523793018417e-01,  4.437039608813396e-01,  2.832503149764654e-01,  4.186939284811727e-01,  3.488704979109268e+00
4           ,  4.200000000000000e-01,  4.913380757092313e-01,  4.569197274193590e-01,  6.685205524362692e-04,  2.830002620672228e-01,  3.962376174828134e+00
5           ,  4.800000000000000e-01,  4.613203002672055e-01,  4.697777650079297e-01,  1.625383227658850e-02,  5.098859265107720e-01,  4.509298262917241e+00
6           ,  5.000000000000000e-01,  4.254866036420622e-01,  4.697777650079297e-01,  3.091252435325165e-02,  6.170599503421916e-01,  4.509298262917241e+00
7           ,  4.700000000000000e-01,  4.832029509206169e-01,  4.943975357838198e-01,  1.025371369074646e-02,  7.980288097043213e-01,  5.869776578170511e+00
8           ,  2.200000000000000e-01,  2.136555402519361e-01,  1.036279825440396e-01,  2.189432709586764e-01,  4.444444444444444e-01,  7.776726854112413e-01
9           ,  1.700000000000000e-01,  1.877736201906707e-01,  1.350208378542586e-01,  3.951983830435710e-01,  3.514413491702468e-01,  9.055844952200905e-01
10          ,  3.600000000000000e-01,  3.022700933490968e-01,  1.502518721252645e-01,  1.768673362530611e-01,  1.964717062589504e-01,  9.733353835718513e-01
11          ,  2.300000000000000e-01,  2.353998289435661e-01,  1.651634039961446e-01,  1.070514992758406e-01,  5.052224842894451e-01,  1.041889790235988e+00
12          ,  1.200000000000000e-01,  1.577266488545208e-01,  1.651634039961446e-01,  1.439134067446737e-01,  7.321081487329942e-01,  1.041889790235988e+00
