# c0 + a0 * (|(pH - cDen) - (Pot^6)|) + a1 * ((Sn %^6) * (Cu % * cDen)) + a2 * (|(|Sn % - Pot|) - (exp(-1.0 * Pot))|) + a3 * (|(Cu %^6) - (|weight - cDen|)|) + a4 * ((|Pot - cDen|) / (Pot^6))
# Property Label: $CO$; Unit of the Property: Unitless
# RMSE: 0.034798435973843; Max AE: 0.0819428628455682
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -1.327086673157861e-01, -1.839947831565793e+00, -2.411112167669870e-01, -2.890421984924531e-01,  6.996071260660672e-02,  3.874641618781436e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         3|0|sub|1|sp|abd; (|(pH - cDen) - (Pot^6)|); $\left(\left|\left(pH - cDen\right) - \left(Pot^6\right)\right|\right)$; abs((pH - cDen) - (Pot).^6); pH,cDen,Pot
# 1;  2; Unitless;                                         2|sp|5|0|mult|mult; ((Sn %^6) * (Cu % * cDen)); $\left(\left(Sn %^6\right) \left(Cu % cDen\right)\right)$; ((Sn %).^6 .* (Cu % .* cDen)); Sn %,Cu %,cDen
# 2;  2; Unitless;                                         2|1|abd|1|nexp|abd; (|(|Sn % - Pot|) - (exp(-1.0 * Pot))|); $\left(\left|\left(\left|Sn % - Pot\right|\right) - \left(\exp{ \left(-Pot \right) } \right)\right|\right)$; abs(abs(Sn % - Pot) - exp(-1.0 * (Pot))); Sn %,Pot,Pot
# 3;  2; Unitless;                                         5|sp|4|0|abd|abd; (|(Cu %^6) - (|weight - cDen|)|); $\left(\left|\left(Cu %^6\right) - \left(\left|weight - cDen\right|\right)\right|\right)$; abs((Cu %).^6 - abs(weight - cDen)); Cu %,weight,cDen
# 4;  2; Unitless;                                         1|0|abd|1|sp|div; ((|Pot - cDen|) / (Pot^6)); $\left(\frac{ \left(\left|Pot - cDen\right|\right) }{ \left(Pot^6\right) } \right)$; (abs(Pot - cDen) ./ (Pot).^6); Pot,cDen,Pot
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
1           ,  2.300000000000000e-01,  2.447380980957869e-01,  4.961286851074341e-01,  0.000000000000000e+00,  2.195666861303825e-01,  6.666666666666667e-01,  2.412058087996215e+00
2           ,  2.300000000000000e-01,  2.363921358378301e-01,  5.468557222164263e-01,  1.747626666666667e-02,  3.976575220977448e-01,  5.736635713924690e-01,  3.078135540399662e+00
3           ,  3.400000000000000e-01,  3.520297618212881e-01,  5.670544229895926e-01,  2.604166666666667e-03,  3.253349485597925e-01,  4.186939284811727e-01,  3.488704979109268e+00
4           ,  4.200000000000000e-01,  4.950813527027095e-01,  5.843319461965883e-01,  3.000000000000001e-07,  4.250315005363658e-02,  2.830002620672228e-01,  3.962376174828134e+00
5           ,  4.800000000000000e-01,  4.615694745558901e-01,  5.990365119893847e-01,  4.947916666666669e-09,  6.010716499818258e-02,  5.098859265107720e-01,  4.509298262917241e+00
6           ,  5.000000000000000e-01,  4.257694434212488e-01,  5.990365119893847e-01,  2.357100000000000e-10,  8.010716499818260e-02,  6.170599503421916e-01,  4.509298262917241e+00
7           ,  4.700000000000000e-01,  4.741624759107094e-01,  6.219611580288033e-01,  0.000000000000000e+00,  4.459270016776296e-02,  7.980288097043213e-01,  5.869776578170511e+00
8           ,  2.200000000000000e-01,  2.378191289368928e-01,  6.445389086673886e-02,  0.000000000000000e+00,  2.780243067740679e-01,  4.444444444444444e-01,  7.776726854112413e-01
9           ,  1.700000000000000e-01,  1.683652390310085e-01,  1.651164699953686e-01,  2.912711111111111e-02,  4.370104761285200e-01,  3.514413491702468e-01,  9.055844952200905e-01
10          ,  3.600000000000000e-01,  3.229164853321993e-01,  2.064191030174793e-01,  4.340277777777778e-03,  1.678678057965915e-01,  1.964717062589504e-01,  9.733353835718513e-01
11          ,  2.300000000000000e-01,  2.336619230794863e-01,  2.425018846605550e-01,  5.000000000000003e-07,  2.010688351025254e-01,  5.052224842894451e-01,  1.041889790235988e+00
12          ,  1.200000000000000e-01,  1.560277357846874e-01,  2.425018846605550e-01,  8.246527777777782e-09,  2.510688351025253e-01,  7.321081487329942e-01,  1.041889790235988e+00
