# c0 + a0 * (|sqrt(Sn %) - (|Cu % - Pot|)|) + a1 * (|(pH - cDen) - (Pot^6)|) + a2 * (|(cDen / pH) - cos(Pot)|) + a3 * ((Sn %^6) * (Cu % * cDen)) + a4 * (|(Cu % / cDen) - (Cu % + Pot)|) + a5 * (|sqrt(Sn %) - (cDen / pH)|)
# Property Label: $CO$; Unit of the Property: Unitless
# RMSE: 0.0270533424120616; Max AE: 0.0517438969068321
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      a5                      c0
# all ,  3.277493220571178e-01, -5.598909495281141e-01,  9.546056163094251e-01, -2.895967612298517e+00,  1.204578438049861e-01, -3.447184433917704e-01,  1.886998352450209e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|sqrt|5|1|abd|abd; (|sqrt(Sn %) - (|Cu % - Pot|)|); $\left(\left|\left(\sqrt{ Sn % }\right) - \left(\left|Cu % - Pot\right|\right)\right|\right)$; abs(sqrt(Sn %) - abs(Cu % - Pot)); Sn %,Cu %,Pot
# 1;  2; Unitless;                                         3|0|sub|1|sp|abd; (|(pH - cDen) - (Pot^6)|); $\left(\left|\left(pH - cDen\right) - \left(Pot^6\right)\right|\right)$; abs((pH - cDen) - (Pot).^6); pH,cDen,Pot
# 2;  2; Unitless;                                         0|3|div|1|cos|abd; (|(cDen / pH) - cos(Pot)|); $\left(\left|\left(\frac{ cDen }{ pH } \right) - \left(\cos{ Pot }\right)\right|\right)$; abs((cDen ./ pH) - cos(Pot)); cDen,pH,Pot
# 3;  2; Unitless;                                         2|sp|5|0|mult|mult; ((Sn %^6) * (Cu % * cDen)); $\left(\left(Sn %^6\right) \left(Cu % cDen\right)\right)$; ((Sn %).^6 .* (Cu % .* cDen)); Sn %,Cu %,cDen
# 4;  2; Unitless;                                         5|0|div|5|1|add|abd; (|(Cu % / cDen) - (Cu % + Pot)|); $\left(\left|\left(\frac{ Cu % }{ cDen } \right) - \left(Cu % + Pot\right)\right|\right)$; abs((Cu % ./ cDen) - (Cu % + Pot)); Cu %,cDen,Cu %,Pot
# 5;  2; Unitless;                                         2|sqrt|0|3|div|abd; (|sqrt(Sn %) - (cDen / pH)|); $\left(\left|\left(\sqrt{ Sn % }\right) - \left(\frac{ cDen }{ pH } \right)\right|\right)$; abs(sqrt(Sn %) - (cDen ./ pH)); Sn %,cDen,pH
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      ,  Feature 5 Value      
1           ,  2.300000000000000e-01,  2.382165907406427e-01,  2.553191489361702e-01,  4.961286851074341e-01,  4.019709055898228e-01,  0.000000000000000e+00,  7.446808510638298e-01,  6.666666666666667e-01
2           ,  2.300000000000000e-01,  2.140703830171956e-01,  3.922995314254477e-01,  5.468557222164263e-01,  4.301364478601404e-01,  1.747626666666667e-02,  3.021276595744681e-01,  5.610938576665825e-01
3           ,  3.400000000000000e-01,  3.693092528065754e-01,  5.262557173567604e-01,  5.670544229895926e-01,  4.437039608813396e-01,  2.604166666666667e-03,  3.191489361702127e-01,  3.737734478532143e-01
4           ,  4.200000000000000e-01,  4.540356631494843e-01,  7.580223410194425e-02,  5.843319461965883e-01,  4.569197274193590e-01,  3.000000000000001e-07,  1.140425531914894e+00,  1.710556731649537e-02
5           ,  4.800000000000000e-01,  4.447875342413655e-01,  8.809532990959554e-02,  5.990365119893847e-01,  4.697777650079297e-01,  4.947916666666669e-09,  1.261702127659575e+00,  1.097265355833544e-01
6           ,  5.000000000000000e-01,  4.553055752299746e-01,  1.584970469026868e-01,  5.990365119893847e-01,  4.697777650079297e-01,  2.357100000000000e-10,  1.301702127659575e+00,  1.601282525764456e-01
7           ,  4.700000000000000e-01,  4.991659031435973e-01,  4.042553191489362e-01,  6.219611580288033e-01,  4.943975357838198e-01,  0.000000000000000e+00,  1.404255319148936e+00,  3.333333333333333e-01
8           ,  2.200000000000000e-01,  2.496593848608087e-01,  1.489361702127660e-01,  6.445389086673886e-02,  1.036279825440396e-01,  0.000000000000000e+00,  8.510638297872340e-01,  4.444444444444444e-01
9           ,  1.700000000000000e-01,  1.958049446004215e-01,  2.859165527020434e-01,  1.651164699953686e-01,  1.350208378542586e-01,  2.912711111111111e-02,  6.485106382978723e-01,  3.388716354443603e-01
10          ,  3.600000000000000e-01,  3.360055054323454e-01,  4.198727386333561e-01,  2.064191030174793e-01,  1.502518721252645e-01,  4.340277777777778e-03,  3.872340425531915e-01,  1.515512256309920e-01
11          ,  2.300000000000000e-01,  1.933360017312569e-01,  1.821852128253486e-01,  2.425018846605550e-01,  1.651634039961446e-01,  5.000000000000003e-07,  4.595744680851088e-02,  2.393277895387176e-01
12          ,  1.200000000000000e-01,  1.098470304142032e-01,  3.956424455848964e-02,  2.425018846605550e-01,  1.651634039961446e-01,  8.246527777777782e-09,  5.957446808510847e-03,  3.319487578055766e-01
13          ,  5.000000000000000e-02,  9.598091435094303e-02,  5.211406817928249e-02,  2.739064628852118e-01,  1.797486833676005e-01,  3.928499999999999e-10,  3.131914893617016e-02,  3.823504747986678e-01
14          ,  1.500000000000000e-01,  1.345021436424763e-01,  3.191489361702128e-01,  3.448322007673704e-01,  2.214817386591174e-01,  0.000000000000000e+00,  1.191489361702125e-01,  5.555555555555556e-01
15          ,  2.200000000000000e-01,  2.065542128119003e-01,  8.510638297872353e-02,  3.642177788410494e-01,  1.679028906272731e-01,  0.000000000000000e+00,  9.148936170212765e-01,  2.222222222222222e-01
16          ,  1.700000000000000e-01,  1.806005421674889e-01,  2.008101697233201e-01,  2.870014621059414e-01,  1.511805473645532e-01,  4.077795555555556e-02,  8.364741641337387e-01,  1.166494132221381e-01
17          ,  3.600000000000000e-01,  3.506496119319177e-01,  3.347663556546328e-01,  2.184503217449155e-01,  1.347418499111259e-01,  6.076388888888889e-03,  7.294832826747721e-01,  7.067099659123022e-02
18          ,  2.300000000000000e-01,  2.045933768261759e-01,  2.885681915487527e-01,  2.184503217449155e-01,  1.347418499111259e-01,  7.000000000000005e-07,  6.151975683890576e-01,  4.615500117609398e-01
19          ,  1.200000000000000e-01,  1.332268376842370e-01,  1.246706275372131e-01,  1.577683313554833e-01,  1.185942396781826e-01,  1.154513888888889e-08,  5.796352583586628e-01,  5.541709800277989e-01
20          ,  5.000000000000000e-02,  9.209002254752985e-02,  5.426891054412181e-02,  1.577683313554833e-01,  1.185942396781826e-01,  5.499900000000000e-10,  5.739209726443770e-01,  6.045726970208900e-01
