# c0 + a0 * (|cbrt(Sn %) - (weight * cDen)|) + a1 * (|(Cu % / cDen) - (weight + cDen)|) + a2 * (|(Cu %^6) - cos(weight)|) + a3 * ((Cu %^3) * (pH * Pot))
# Property Label: $EtoH$; Unit of the Property: Unitless
# RMSE: 0.0452962511214135; Max AE: 0.111468469307801
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -2.343969100382899e-01, -1.511699695287577e-01, -8.102830014996789e-01, -4.363067900795246e-01,  7.794695588562600e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|cbrt|4|0|mult|abd; (|cbrt(Sn %) - (weight * cDen)|); $\left(\left|\left(\sqrt[3]{ Sn % }\right) - \left(weight cDen\right)\right|\right)$; abs(nthroot(Sn %, 3) - (weight .* cDen)); Sn %,weight,cDen
# 1;  2; Unitless;                                         5|0|div|4|0|add|abd; (|(Cu % / cDen) - (weight + cDen)|); $\left(\left|\left(\frac{ Cu % }{ cDen } \right) - \left(weight + cDen\right)\right|\right)$; abs((Cu % ./ cDen) - (weight + cDen)); Cu %,cDen,weight,cDen
# 2;  2; Unitless;                                         5|sp|4|cos|abd; (|(Cu %^6) - cos(weight)|); $\left(\left|\left(Cu %^6\right) - \left(\cos{ weight }\right)\right|\right)$; abs((Cu %).^6 - cos(weight)); Cu %,weight
# 3;  2; Unitless;                                         5|cb|3|1|mult|mult; ((Cu %^3) * (pH * Pot)); $\left(\left(Cu %^3\right) \left(pH Pot\right)\right)$; ((Cu %).^3 .* (pH .* Pot)); Cu %,pH,Pot
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
1           ,  0.000000000000000e+00, -1.615278132364411e-02,  6.666666666666667e-01,  1.333333333333333e+00,  5.403023058681398e-01,  0.000000000000000e+00
2           ,  0.000000000000000e+00,  3.435243697398789e-02,  6.259641318139550e-01,  6.403942380591360e-01,  6.159995220061230e-01,  5.617021276595736e-03
3           ,  3.000000000000000e-02, -1.441725722978426e-02,  5.378164387125979e-01,  3.990144048521607e-01,  7.039180328756754e-01,  8.510638297872340e-02
4           ,  2.000000000000000e-02, -9.848968806971409e-03,  2.702341929392410e-01,  1.784892595400556e+00,  3.040481005946003e-01,  4.808297872340426e-01
5           ,  1.000000000000000e-01,  1.104614526097994e-01,  1.822233840481849e-01,  1.958127369219105e+00,  1.129382212740232e-01,  5.472606382978722e-01
6           ,  1.100000000000000e-01,  1.727294342289507e-01,  1.276414546220054e-01,  2.027421278746525e+00,  1.994670045950020e-02,  5.825572340425531e-01
7           ,  6.000000000000000e-02,  4.217179357318715e-02,  1.784348412096706e-01,  2.131362143037655e+00,  1.398866692547415e-01,  5.957446808510638e-01
8           ,  0.000000000000000e+00,  2.342094345140943e-03,  4.444444444444444e-01,  1.555555555555556e+00,  5.403023058681398e-01,  0.000000000000000e+00
9           ,  0.000000000000000e+00,  1.135416463836013e-02,  4.243950418748879e-01,  1.102616460281358e+00,  6.159995220061230e-01,  6.468085106382969e-03
10          ,  2.000000000000000e-02,  1.610909959762180e-02,  3.672270471982631e-01,  4.232078173700615e-01,  7.039180328756754e-01,  9.840425531914894e-02
11          ,  1.200000000000000e-01,  1.834745062835920e-01,  1.409510659912164e-01,  4.826703731783335e-01,  3.040481005946003e-01,  5.583829787234044e-01
