# c0 + a0 * (|(exp(-1.0 * Pot)) - (Cu %^6)|) + a1 * (|cbrt(Sn %) - (weight^2)|) + a2 * (|cbrt(Sn %) - (weight * cDen)|) + a3 * (|(Pot + cDen) - (Cu % / cDen)|) + a4 * (|(Cu %^6) - Pot|)
# Property Label: $EtoH$; Unit of the Property: Unitless
# RMSE: 0.0367222969911424; Max AE: 0.093935811806993
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  3.582353274493197e-01, -4.792365108272099e-01, -3.114643670447633e-01, -9.722563066177728e-02, -2.367335884642759e-01,  3.281047382459490e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         1|nexp|5|sp|abd; (|(exp(-1.0 * Pot)) - (Cu %^6)|); $\left(\left|\left(\exp{ \left(-Pot \right) } \right) - \left(Cu %^6\right)\right|\right)$; abs(exp(-1.0 * (Pot)) - (Cu %).^6); Pot,Cu %
# 1;  2; Unitless;                                         2|cbrt|4|sq|abd; (|cbrt(Sn %) - (weight^2)|); $\left(\left|\left(\sqrt[3]{ Sn % }\right) - \left(weight^2\right)\right|\right)$; abs(nthroot(Sn %, 3) - (weight).^2); Sn %,weight
# 2;  2; Unitless;                                         2|cbrt|4|0|mult|abd; (|cbrt(Sn %) - (weight * cDen)|); $\left(\left|\left(\sqrt[3]{ Sn % }\right) - \left(weight cDen\right)\right|\right)$; abs(nthroot(Sn %, 3) - (weight .* cDen)); Sn %,weight,cDen
# 3;  2; Unitless;                                         1|0|add|5|0|div|abd; (|(Pot + cDen) - (Cu % / cDen)|); $\left(\left|\left(Pot + cDen\right) - \left(\frac{ Cu % }{ cDen } \right)\right|\right)$; abs((Pot + cDen) - (Cu % ./ cDen)); Pot,cDen,Cu %,cDen
# 4;  2; Unitless;                                         5|sp|1|abd; (|(Cu %^6) - Pot|); $\left(\left|\left(Cu %^6\right) - Pot\right|\right)$; abs((Cu %).^6 - Pot); Cu %,Pot
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
1           ,  0.000000000000000e+00,  9.481130435556557e-03,  4.748858350665527e-01,  0.000000000000000e+00,  6.666666666666667e-01,  1.078014184397163e+00,  7.446808510638298e-01
2           ,  0.000000000000000e+00,  5.150518983509861e-02,  4.954658625232768e-01,  1.055582818405647e-01,  6.259641318139550e-01,  4.354609929078016e-01,  7.020636595744680e-01
3           ,  3.000000000000000e-02,  3.365429526964866e-02,  4.905610123895797e-01,  2.044105309151730e-01,  5.378164387125979e-01,  4.858156028368794e-01,  6.652260638297872e-01
4           ,  2.000000000000000e-02, -7.461448688482031e-03,  1.436968196853039e-02,  1.256978133637323e-01,  2.702341929392410e-01,  1.707092198581561e+00,  1.281334680851062e-01
5           ,  1.000000000000000e-01,  1.128813020482156e-01,  2.069011832827571e-01,  5.643700307082333e-02,  1.822233840481849e-01,  1.878368794326241e+00,  9.679401828457446e-02
6           ,  1.100000000000000e-01,  1.586489563894717e-01,  3.047812975867571e-01,  9.052754443839073e-03,  1.276414546220054e-01,  1.938368794326241e+00,  1.946741325885745e-01
7           ,  6.000000000000000e-02, -1.051317249094647e-03,  4.488480193166992e-01,  2.865509330176834e-01,  1.784348412096706e-01,  2.070921985815603e+00,  4.042553191489362e-01
8           ,  0.000000000000000e+00,  4.393605673078989e-03,  4.269604769868339e-01,  0.000000000000000e+00,  4.444444444444444e-01,  1.406619385342790e+00,  8.510638297872340e-01
9           ,  0.000000000000000e+00,  1.590445503472581e-02,  4.454571144263922e-01,  1.055582818405647e-01,  4.243950418748879e-01,  1.004066193853428e+00,  8.084466382978723e-01
10          ,  2.000000000000000e-02,  4.748546602978000e-02,  4.394768483497830e-01,  2.044105309151730e-01,  3.672270471982631e-01,  4.427895981087473e-01,  7.716090425531915e-01
11          ,  1.200000000000000e-01,  1.632674322143417e-01,  6.655238829401489e-02,  1.256978133637323e-01,  1.409510659912164e-01,  2.984869976359337e-01,  2.345164468085105e-01
12          ,  3.200000000000000e-01,  3.346794363274493e-01,  2.702032789190146e-01,  5.643700307082333e-02,  5.810354017094904e-02,  3.884869976359335e-01,  3.086555618351072e-02
13          ,  4.800000000000000e-01,  3.860641881930070e-01,  3.580861698624472e-01,  9.052754443839073e-03,  5.586923973084967e-03,  4.457635933806146e-01,  8.829115386517017e-02
