# c0 + a0 * ((|Sn % - cDen|) * (|Cu % - cDen|)) + a1 * (|(exp(-1.0 * Pot)) - (Cu %^6)|) + a2 * (|cbrt(Sn %) - (weight^2)|) + a3 * (|(cDen / Pot) - (pH * Pot)|) + a4 * (|(Cu % / cDen) - (weight + Pot)|) + a5 * (|(Cu %^6) - Pot|)
# Property Label: $EtoH$; Unit of the Property: Unitless
# RMSE: 0.0287611005208686; Max AE: 0.0692914893368647
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      a5                      c0
# all ,  3.516697023069468e-01,  3.687251845185032e-01, -5.970932191479567e-01, -7.073091663701121e-01, -1.018106173107204e-01, -2.343047991878564e-01,  2.801280473445035e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|0|abd|5|0|abd|mult; ((|Sn % - cDen|) * (|Cu % - cDen|)); $\left(\left(\left|Sn % - cDen\right|\right) \left(\left|Cu % - cDen\right|\right)\right)$; (abs(Sn % - cDen) .* abs(Cu % - cDen)); Sn %,cDen,Cu %,cDen
# 1;  2; Unitless;                                         1|nexp|5|sp|abd; (|(exp(-1.0 * Pot)) - (Cu %^6)|); $\left(\left|\left(\exp{ \left(-Pot \right) } \right) - \left(Cu %^6\right)\right|\right)$; abs(exp(-1.0 * (Pot)) - (Cu %).^6); Pot,Cu %
# 2;  2; Unitless;                                         2|cbrt|4|sq|abd; (|cbrt(Sn %) - (weight^2)|); $\left(\left|\left(\sqrt[3]{ Sn % }\right) - \left(weight^2\right)\right|\right)$; abs(nthroot(Sn %, 3) - (weight).^2); Sn %,weight
# 3;  2; Unitless;                                         0|1|div|3|1|mult|abd; (|(cDen / Pot) - (pH * Pot)|); $\left(\left|\left(\frac{ cDen }{ Pot } \right) - \left(pH Pot\right)\right|\right)$; abs((cDen ./ Pot) - (pH .* Pot)); cDen,Pot,pH,Pot
# 4;  2; Unitless;                                         5|0|div|4|1|add|abd; (|(Cu % / cDen) - (weight + Pot)|); $\left(\left|\left(\frac{ Cu % }{ cDen } \right) - \left(weight + Pot\right)\right|\right)$; abs((Cu % ./ cDen) - (weight + Pot)); Cu %,cDen,weight,Pot
# 5;  2; Unitless;                                         5|sp|1|abd; (|(Cu %^6) - Pot|); $\left(\left|\left(Cu %^6\right) - Pot\right|\right)$; abs((Cu %).^6 - Pot); Cu %,Pot
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      ,  Feature 5 Value      
1           ,  0.000000000000000e+00, -2.884463103996646e-02,  2.222222222222222e-01,  4.748858350665527e-01,  0.000000000000000e+00,  2.970618034447821e-01,  1.744680851063830e+00,  7.446808510638298e-01
2           ,  0.000000000000000e+00, -6.398759487206405e-03,  6.222222222222227e-02,  4.954658625232768e-01,  1.055582818405647e-01,  2.273801848269932e-01,  1.009188564300270e+00,  7.020636595744680e-01
3           ,  3.000000000000000e-02,  5.233272154869093e-02,  2.777777777777778e-02,  4.905610123895797e-01,  2.044105309151730e-01,  1.912677304964539e-01,  5.149667435570682e-02,  6.652260638297872e-01
4           ,  2.000000000000000e-02, -3.072249021452494e-02,  1.322222222222222e-01,  1.436968196853039e-02,  1.256978133637323e-01,  1.541981239990848e-01,  1.458651460648783e+00,  1.281334680851062e-01
5           ,  1.000000000000000e-01,  1.110738817634600e-01,  1.747222222222222e-01,  2.069011832827571e-01,  5.643700307082333e-02,  1.160756501182032e-01,  1.653162830212013e+00,  9.679401828457446e-02
6           ,  1.100000000000000e-01,  1.519396448115927e-01,  1.931222222222223e-01,  3.047812975867571e-01,  9.052754443839073e-03,  1.160756501182032e-01,  1.722456739739433e+00,  1.946741325885745e-01
7           ,  6.000000000000000e-02,  4.206346988457698e-02,  2.222222222222222e-01,  4.488480193166992e-01,  2.865509330176834e-01,  3.622087132725427e-02,  1.868950795519924e+00,  4.042553191489362e-01
8           ,  0.000000000000000e+00, -3.724679811603260e-03,  2.469135802469136e-01,  4.269604769868339e-01,  0.000000000000000e+00,  1.982860520094563e-01,  1.851063829787234e+00,  8.510638297872340e-01
9           ,  0.000000000000000e+00, -1.368913336694681e-03,  8.691358024691362e-02,  4.454571144263922e-01,  1.055582818405647e-01,  1.213761353738956e-01,  1.355571543023675e+00,  8.084466382978723e-01
10          ,  2.000000000000000e-02,  1.607566707365791e-02,  3.086419753086423e-03,  4.394768483497830e-01,  2.044105309151730e-01,  8.152833684748584e-02,  6.548863043676976e-01,  7.716090425531915e-01
11          ,  1.200000000000000e-01,  1.733766055751939e-01,  1.569135802469136e-01,  6.655238829401489e-02,  1.256978133637323e-01,  4.064880483320199e-02,  2.722684819253784e-01,  2.345164468085105e-01
12          ,  3.200000000000000e-01,  3.409568191337010e-01,  1.994135802469135e-01,  2.702032789190146e-01,  5.643700307082333e-02,  4.064880483320199e-02,  3.855032557439280e-01,  3.086555618351072e-02
13          ,  4.800000000000000e-01,  4.156880848822987e-01,  2.178135802469136e-01,  3.580861698624472e-01,  9.052754443839073e-03,  1.350894967916294e-03,  4.520737610160286e-01,  8.829115386517017e-02
