# c0 + a0 * (|(weight * Sn %) - (|Cu % - weight|)|)
# Property Label: $FORM$; Unit of the Property: Unitless
# RMSE: 0.0738280891714282; Max AE: 0.290263333824095
# Coefficients
# Task   a0                      c0
# all , -1.146576672073183e+00,  6.202633338240948e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         4|2|mult|5|4|abd|abd; (|(weight * Sn %) - (|Cu % - weight|)|); $\left(\left|\left(weight Sn %\right) - \left(\left|Cu % - weight\right|\right)\right|\right)$; abs((weight .* Sn %) - abs(Cu % - weight)); weight,Sn %,Cu %,weight
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
1           ,  6.100000000000000e-01,  6.202633338240948e-01,  0.000000000000000e+00
2           ,  6.600000000000000e-01,  5.989509741110985e-01,  1.858781905483942e-02
3           ,  5.200000000000000e-01,  4.870610856178673e-01,  1.161738690927470e-01
4           ,  4.200000000000000e-01,  3.220977653420705e-01,  2.600485216072783e-01
5           ,  1.900000000000000e-01,  2.034440306885654e-01,  3.635337376800606e-01
6           ,  1.400000000000000e-01,  1.567284694171183e-01,  4.042772504422542e-01
7           ,  1.100000000000000e-01,  8.745434099918491e-02,  4.646954763709881e-01
8           ,  6.300000000000000e-01,  6.202633338240948e-01,  0.000000000000000e+00
9           ,  7.000000000000000e-01,  5.989509741110985e-01,  1.858781905483942e-02
10          ,  4.800000000000000e-01,  4.870610856178673e-01,  1.161738690927470e-01
11          ,  4.200000000000000e-01,  3.220977653420705e-01,  2.600485216072783e-01
12          ,  2.300000000000000e-01,  2.034440306885654e-01,  3.635337376800606e-01
13          ,  9.000000000000000e-02,  1.567284694171183e-01,  4.042772504422542e-01
14          ,  9.000000000000000e-02,  8.745434099918491e-02,  4.646954763709881e-01
15          ,  6.300000000000000e-01,  6.202633338240948e-01,  0.000000000000000e+00
16          ,  7.000000000000000e-01,  5.989509741110985e-01,  1.858781905483942e-02
17          ,  4.800000000000000e-01,  4.870610856178673e-01,  1.161738690927470e-01
18          ,  4.200000000000000e-01,  3.220977653420705e-01,  2.600485216072783e-01
19          ,  2.300000000000000e-01,  2.034440306885654e-01,  3.635337376800606e-01
20          ,  9.000000000000000e-02,  1.567284694171183e-01,  4.042772504422542e-01
21          ,  9.000000000000000e-02,  8.745434099918491e-02,  4.646954763709881e-01
22          ,  3.300000000000000e-01,  6.202633338240948e-01,  0.000000000000000e+00
23          ,  5.000000000000000e-01,  5.989509741110985e-01,  1.858781905483942e-02
24          ,  3.900000000000000e-01,  4.870610856178673e-01,  1.161738690927470e-01
25          ,  3.700000000000000e-01,  3.220977653420705e-01,  2.600485216072783e-01
26          ,  1.400000000000000e-01,  2.034440306885654e-01,  3.635337376800606e-01
27          ,  9.000000000000000e-02,  1.567284694171183e-01,  4.042772504422542e-01
28          ,  8.000000000000000e-02,  8.745434099918491e-02,  4.646954763709881e-01
29          ,  5.900000000000000e-01,  6.202633338240948e-01,  0.000000000000000e+00
30          ,  6.200000000000000e-01,  5.989509741110985e-01,  1.858781905483942e-02
31          ,  5.600000000000001e-01,  4.870610856178673e-01,  1.161738690927470e-01
32          ,  3.800000000000000e-01,  3.220977653420705e-01,  2.600485216072783e-01
33          ,  1.900000000000000e-01,  2.034440306885654e-01,  3.635337376800606e-01
34          ,  1.400000000000000e-01,  1.567284694171183e-01,  4.042772504422542e-01
35          ,  7.000000000000001e-02,  8.745434099918491e-02,  4.646954763709881e-01
