# c0 + a0 * ((Pot^6)^6) + a1 * (|(weight * Sn %) - (|Cu % - weight|)|)
# Property Label: $FORM$; Unit of the Property: Unitless
# RMSE: 0.0442364774935549; Max AE: 0.093653275002556
# Coefficients
# Task   a0                      a1                      c0
# all , -3.157925646715826e-01, -1.248137749561206e+00,  6.669209093969999e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         1|sp|sp; ((Pot^6)^6); $\left(\left(Pot^6\right)^6\right)$; ((Pot).^6).^6; Pot
# 1;  2; Unitless;                                         4|2|mult|5|4|abd|abd; (|(weight * Sn %) - (|Cu % - weight|)|); $\left(\left|\left(weight Sn %\right) - \left(\left|Cu % - weight\right|\right)\right|\right)$; abs((weight .* Sn %) - abs(Cu % - weight)); weight,Sn %,Cu %,weight
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
1           ,  6.100000000000000e-01,  6.669131410500952e-01,  2.459952441483261e-05,  0.000000000000000e+00
2           ,  6.600000000000000e-01,  6.437198166795738e-01,  2.957869096331033e-06,  1.858781905483942e-02
3           ,  5.200000000000000e-01,  5.219196093533752e-01,  9.769589904373583e-07,  1.161738690927470e-01
4           ,  4.200000000000000e-01,  3.423444344829191e-01,  3.115287211947773e-07,  2.600485216072783e-01
5           ,  1.900000000000000e-01,  2.131806979429332e-01,  9.568465255498675e-08,  3.635337376800606e-01
6           ,  1.400000000000000e-01,  1.623271816147107e-01,  9.568465255498675e-08,  4.042772504422542e-01
7           ,  1.100000000000000e-01,  8.691694076706948e-02,  7.983002083786626e-09,  4.646954763709881e-01
8           ,  6.300000000000000e-01,  6.659702198857497e-01,  3.010487318594608e-03,  0.000000000000000e+00
9           ,  7.000000000000000e-01,  6.435707517080492e-01,  4.749923252577717e-04,  1.858781905483942e-02
10          ,  4.800000000000000e-01,  5.218624875702703e-01,  1.818608349750946e-04,  1.161738690927470e-01
11          ,  4.200000000000000e-01,  3.423231153482202e-01,  6.782146113827191e-05,  2.600485216072783e-01
12          ,  2.300000000000000e-01,  2.131593106462824e-01,  6.782146113827191e-05,  3.635337376800606e-01
13          ,  9.000000000000000e-02,  1.623194434843080e-01,  2.459952441483261e-05,  4.042772504422542e-01
14          ,  9.000000000000000e-02,  8.691663477165691e-02,  9.769589904373583e-07,  4.646954763709881e-01
15          ,  6.300000000000000e-01,  6.540756341261267e-01,  4.067630687958731e-02,  0.000000000000000e+00
16          ,  7.000000000000000e-01,  6.382145319010832e-01,  1.743618902897488e-02,  1.858781905483942e-02
17          ,  4.800000000000000e-01,  5.196073320593616e-01,  7.323116720002253e-03,  1.161738690927470e-01
18          ,  4.200000000000000e-01,  3.400319470509741e-01,  7.323116720002253e-03,  2.600485216072783e-01
19          ,  2.300000000000000e-01,  2.122300386481849e-01,  3.010487318594608e-03,  3.635337376800606e-01
20          ,  9.000000000000000e-02,  1.613765223199624e-01,  3.010487318594608e-03,  4.042772504422542e-01
21          ,  9.000000000000000e-02,  8.689552577488947e-02,  6.782146113827191e-05,  4.646954763709881e-01
22          ,  3.300000000000000e-01,  3.511283447254173e-01,  1.000000000000000e+00,  0.000000000000000e+00
23          ,  5.000000000000000e-01,  4.981208914887698e-01,  4.610617080718560e-01,  1.858781905483942e-02
24          ,  3.900000000000000e-01,  3.763200586058886e-01,  4.610617080718560e-01,  1.161738690927470e-01
25          ,  3.700000000000000e-01,  2.763467249974439e-01,  2.089910126052689e-01,  2.600485216072783e-01
26          ,  1.400000000000000e-01,  1.471829202955061e-01,  2.089910126052689e-01,  3.635337376800606e-01
27          ,  9.000000000000000e-02,  1.329388506839821e-01,  9.306223272797380e-02,  4.042772504422542e-01
28          ,  8.000000000000000e-02,  8.141072443648369e-02,  1.743618902897488e-02,  4.646954763709881e-01
29          ,  5.900000000000000e-01,  6.659702198857497e-01,  3.010487318594608e-03,  0.000000000000000e+00
30          ,  6.200000000000000e-01,  6.427700612413915e-01,  3.010487318594608e-03,  1.858781905483942e-02
31          ,  5.600000000000001e-01,  5.209692283585102e-01,  3.010487318594608e-03,  1.161738690927470e-01
32          ,  3.800000000000000e-01,  3.413938433501227e-01,  3.010487318594608e-03,  2.600485216072783e-01
33          ,  1.900000000000000e-01,  2.122300386481849e-01,  3.010487318594608e-03,  3.635337376800606e-01
34          ,  1.400000000000000e-01,  1.613765223199624e-01,  3.010487318594608e-03,  4.042772504422542e-01
35          ,  7.000000000000001e-02,  8.596625377679191e-02,  3.010487318594608e-03,  4.646954763709881e-01
