# c0 + a0 * ((|Cu % - Sn %|) * (Cu % * Sn %)) + a1 * ((Pot^6)^6) + a2 * (|sin(Sn %) - (|Cu % - weight|)|)
# Property Label: $FORM$; Unit of the Property: Unitless
# RMSE: 0.0336068317276631; Max AE: 0.0650974924360854
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.888797592776070e+00, -2.912363886677266e-01, -1.738294306358969e+00,  8.851948883060691e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         5|2|abd|5|2|mult|mult; ((|Cu % - Sn %|) * (Cu % * Sn %)); $\left(\left(\left|Cu % - Sn %\right|\right) \left(Cu % Sn %\right)\right)$; (abs(Cu % - Sn %) .* (Cu % .* Sn %)); Cu %,Sn %,Cu %,Sn %
# 1;  2; Unitless;                                         1|sp|sp; ((Pot^6)^6); $\left(\left(Pot^6\right)^6\right)$; ((Pot).^6).^6; Pot
# 2;  2; Unitless;                                         2|sin|5|4|abd|abd; (|sin(Sn %) - (|Cu % - weight|)|); $\left(\left|\left(\sin{ Sn % }\right) - \left(\left|Cu % - weight\right|\right)\right|\right)$; abs(sin(Sn %) - abs(Cu % - weight)); Sn %,Cu %,weight
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
1           ,  6.100000000000000e-01,  6.096176395282876e-01,  0.000000000000000e+00,  2.459952441483261e-05,  1.585290151921035e-01
2           ,  6.600000000000000e-01,  6.859733944517691e-01,  9.599999999999996e-02,  2.957869096331033e-06,  1.029518617372027e-02
3           ,  5.200000000000000e-01,  5.170703224975486e-01,  0.000000000000000e+00,  9.769589904373583e-07,  2.117732767896970e-01
4           ,  4.200000000000000e-01,  3.695709105853217e-01,  7.200000000000001e-02,  3.115287211947773e-07,  2.183925120870612e-01
5           ,  1.900000000000000e-01,  2.108533583176247e-01,  4.275000000000000e-02,  9.568465255498675e-08,  3.414815332817603e-01
6           ,  1.400000000000000e-01,  1.542743517521127e-01,  2.735400000000000e-02,  9.568465255498675e-08,  3.907591118773628e-01
7           ,  1.100000000000000e-01,  7.741738521467117e-02,  0.000000000000000e+00,  7.983002083786626e-09,  4.646954763709881e-01
8           ,  6.300000000000000e-01,  6.087480403501436e-01,  0.000000000000000e+00,  3.010487318594608e-03,  1.585290151921035e-01
9           ,  7.000000000000000e-01,  6.858359208414300e-01,  9.599999999999996e-02,  4.749923252577717e-04,  1.029518617372027e-02
10          ,  4.800000000000000e-01,  5.170176425307386e-01,  0.000000000000000e+00,  1.818608349750946e-04,  2.117732767896970e-01
11          ,  4.200000000000000e-01,  3.695512492364053e-01,  7.200000000000001e-02,  6.782146113827191e-05,  2.183925120870612e-01
12          ,  2.300000000000000e-01,  2.108336341070613e-01,  4.275000000000000e-02,  6.782146113827191e-05,  3.414815332817603e-01
13          ,  9.000000000000000e-02,  1.542672153423120e-01,  2.735400000000000e-02,  2.459952441483261e-05,  3.907591118773628e-01
14          ,  9.000000000000000e-02,  7.741710301360366e-02,  0.000000000000000e+00,  9.769589904373583e-07,  4.646954763709881e-01
15          ,  6.300000000000000e-01,  5.977783830849899e-01,  0.000000000000000e+00,  4.067630687958731e-02,  1.585290151921035e-01
16          ,  7.000000000000000e-01,  6.808962031659564e-01,  9.599999999999996e-02,  1.743618902897488e-02,  1.029518617372027e-02
17          ,  4.800000000000000e-01,  5.149378489562311e-01,  0.000000000000000e+00,  7.323116720002253e-03,  2.117732767896970e-01
18          ,  4.200000000000000e-01,  3.674382432464957e-01,  7.200000000000001e-02,  7.323116720002253e-03,  2.183925120870612e-01
19          ,  2.300000000000000e-01,  2.099766227296800e-01,  4.275000000000000e-02,  3.010487318594608e-03,  3.414815332817603e-01
20          ,  9.000000000000000e-02,  1.533976161641680e-01,  2.735400000000000e-02,  3.010487318594608e-03,  3.907591118773628e-01
21          ,  9.000000000000000e-02,  7.739763546219575e-02,  0.000000000000000e+00,  6.782146113827191e-05,  4.646954763709881e-01
22          ,  3.300000000000000e-01,  3.183884151372145e-01,  0.000000000000000e+00,  1.000000000000000e+00,  1.585290151921035e-01
23          ,  5.000000000000000e-01,  5.516963090790620e-01,  9.599999999999996e-02,  4.610617080718560e-01,  1.029518617372027e-02
24          ,  3.900000000000000e-01,  3.827926602117359e-01,  0.000000000000000e+00,  4.610617080718560e-01,  2.117732767896970e-01
25          ,  3.700000000000000e-01,  3.087052135386515e-01,  7.200000000000001e-02,  2.089910126052689e-01,  2.183925120870612e-01
26          ,  1.400000000000000e-01,  1.499875984093076e-01,  4.275000000000000e-02,  2.089910126052689e-01,  3.414815332817603e-01
27          ,  9.000000000000000e-02,  1.271712710379149e-01,  2.735400000000000e-02,  9.306223272797380e-02,  3.907591118773628e-01
28          ,  8.000000000000000e-02,  7.233933481468541e-02,  0.000000000000000e+00,  1.743618902897488e-02,  4.646954763709881e-01
29          ,  5.900000000000000e-01,  6.087480403501436e-01,  0.000000000000000e+00,  3.010487318594608e-03,  1.585290151921035e-01
30          ,  6.200000000000000e-01,  6.850974924360854e-01,  9.599999999999996e-02,  3.010487318594608e-03,  1.029518617372027e-02
31          ,  5.600000000000001e-01,  5.161938435687593e-01,  0.000000000000000e+00,  3.010487318594608e-03,  2.117732767896970e-01
32          ,  3.800000000000000e-01,  3.686942378590239e-01,  7.200000000000001e-02,  3.010487318594608e-03,  2.183925120870612e-01
33          ,  1.900000000000000e-01,  2.099766227296800e-01,  4.275000000000000e-02,  3.010487318594608e-03,  3.414815332817603e-01
34          ,  1.400000000000000e-01,  1.533976161641680e-01,  2.735400000000000e-02,  3.010487318594608e-03,  3.907591118773628e-01
35          ,  7.000000000000001e-02,  7.654062408481438e-02,  0.000000000000000e+00,  3.010487318594608e-03,  4.646954763709881e-01
