# c0 + a0 * ((exp(-1.0 * pH)) + (cDen^6))
# Property Label: $H2$; Unit of the Property: Unitless
# RMSE: 0.0336875645688037; Max AE: 0.0736876508316987
# Coefficients
# Task   a0                      c0
# all ,  2.344317535677257e-01, -1.682284681966292e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         3|nexp|0|sp|add; ((exp(-1.0 * pH)) + (cDen^6)); $\left(\left(\exp{ \left(-pH \right) } \right) + \left(cDen^6\right)\right)$; (exp(-1.0 * (pH)) + (cDen).^6); pH,cDen
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
1           ,  1.200000000000000e-01,  6.974135558454538e-02,  3.692511832839252e-01
2           ,  7.000000000000001e-02,  6.974135558454538e-02,  3.692511832839252e-01
3           ,  5.000000000000000e-02,  6.974135558454538e-02,  3.692511832839252e-01
4           ,  5.000000000000000e-02,  6.974135558454538e-02,  3.692511832839252e-01
5           ,  5.000000000000000e-02,  6.974135558454538e-02,  3.692511832839252e-01
6           ,  5.000000000000000e-02,  6.974135558454538e-02,  3.692511832839252e-01
7           ,  1.100000000000000e-01,  6.974135558454538e-02,  3.692511832839252e-01
8           ,  1.200000000000000e-01,  7.631234916830132e-02,  3.972806352833005e-01
9           ,  1.000000000000000e-01,  7.631234916830132e-02,  3.972806352833005e-01
10          ,  8.000000000000000e-02,  7.631234916830132e-02,  3.972806352833005e-01
11          ,  7.000000000000001e-02,  7.631234916830132e-02,  3.972806352833005e-01
12          ,  7.000000000000001e-02,  7.631234916830132e-02,  3.972806352833005e-01
13          ,  6.000000000000000e-02,  7.631234916830132e-02,  3.972806352833005e-01
14          ,  1.500000000000000e-01,  7.631234916830132e-02,  3.972806352833005e-01
15          ,  1.200000000000000e-01,  1.213176559210615e-01,  5.892567906796662e-01
16          ,  1.000000000000000e-01,  1.213176559210615e-01,  5.892567906796662e-01
17          ,  8.000000000000000e-02,  1.213176559210615e-01,  5.892567906796662e-01
18          ,  7.000000000000001e-02,  1.213176559210615e-01,  5.892567906796662e-01
19          ,  7.000000000000001e-02,  1.213176559210615e-01,  5.892567906796662e-01
20          ,  6.000000000000000e-02,  1.213176559210615e-01,  5.892567906796662e-01
21          ,  1.500000000000000e-01,  1.213176559210615e-01,  5.892567906796662e-01
22          ,  3.700000000000000e-01,  3.038515292433991e-01,  1.367879441171442e+00
23          ,  3.200000000000000e-01,  3.038515292433991e-01,  1.367879441171442e+00
24          ,  3.300000000000000e-01,  3.038515292433991e-01,  1.367879441171442e+00
25          ,  3.000000000000000e-01,  3.038515292433991e-01,  1.367879441171442e+00
26          ,  2.900000000000000e-01,  3.038515292433991e-01,  1.367879441171442e+00
27          ,  2.700000000000000e-01,  3.038515292433991e-01,  1.367879441171442e+00
28          ,  2.800000000000000e-01,  3.038515292433991e-01,  1.367879441171442e+00
29          ,  1.600000000000000e-01,  1.158676510404673e-01,  5.660090659254351e-01
30          ,  1.300000000000000e-01,  1.158872140699877e-01,  5.660925146444020e-01
31          ,  1.000000000000000e-01,  1.158872140699877e-01,  5.660925146444020e-01
32          ,  1.000000000000000e-01,  1.159081940402695e-01,  5.661820075137021e-01
33          ,  1.000000000000000e-01,  1.159547319821090e-01,  5.663805213290503e-01
34          ,  9.000000000000000e-02,  1.159673826880138e-01,  5.664344846071141e-01
35          ,  1.700000000000000e-01,  1.159673826880138e-01,  5.664344846071141e-01
