# c0 + a0 * (|sin(cDen) - (Pot * cDen)|) + a1 * (cbrt(Sn %) + (Cu % + pH)) + a2 * ((cDen^6) * (Pot^3))
# Property Label: $H2$; Unit of the Property: Unitless
# RMSE: 0.0132572597823396; Max AE: 0.0233723766164366
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  3.324053803592641e-01, -1.566222699334490e-01,  2.558454001967528e-01,  3.886868305202099e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|sin|1|0|mult|abd; (|sin(cDen) - (Pot * cDen)|); $\left(\left|\left(\sin{ cDen }\right) - \left(Pot cDen\right)\right|\right)$; abs(sin(cDen) - (Pot .* cDen)); cDen,Pot,cDen
# 1;  2; Unitless;                                         2|cbrt|5|3|add|add; (cbrt(Sn %) + (Cu % + pH)); $\left(\left(\sqrt[3]{ Sn % }\right) + \left(Cu % + pH\right)\right)$; (nthroot(Sn %, 3) + (Cu % + pH)); Sn %,Cu %,pH
# 2;  2; Unitless;                                         0|sp|1|cb|mult; ((cDen^6) * (Pot^3)); $\left(\left(cDen^6\right) \left(Pot^3\right)\right)$; ((cDen).^6 .* (Pot).^3); cDen,Pot
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
1           ,  1.200000000000000e-01,  1.018365252302191e-01,  7.896774644154231e-02,  2.000000000000000e+00,  5.664779776417780e-04
2           ,  7.000000000000001e-02,  8.643062267776437e-02,  9.315214360466290e-02,  2.128317766722556e+00,  4.748109407000017e-04
3           ,  5.000000000000000e-02,  6.287477227953110e-02,  1.002443421862231e-01,  2.293700525984100e+00,  4.329411165333127e-04
4           ,  5.000000000000000e-02,  5.418684619599368e-02,  1.073365407677834e-01,  2.364158883361278e+00,  3.936080567213110e-04
5           ,  5.000000000000000e-02,  6.370126356109208e-02,  1.144287393493437e-01,  2.318403149864039e+00,  3.567324873779126e-04
6           ,  5.000000000000000e-02,  6.960277491541217e-02,  1.144287393493437e-01,  2.280723250595386e+00,  3.567324873779126e-04
7           ,  1.100000000000000e-01,  1.182681937768004e-01,  1.286131365124643e-01,  2.000000000000000e+00,  2.900367245525903e-04
8           ,  1.200000000000000e-01,  9.822925147251373e-02,  5.460214700117993e-02,  2.000000000000000e+00,  1.812388799359411e-02
9           ,  1.000000000000000e-01,  8.532877502888747e-02,  7.824280893971425e-02,  2.128317766722556e+00,  1.553896846850775e-02
10          ,  8.000000000000000e-02,  6.304961945328491e-02,  9.006313990898135e-02,  2.293700525984100e+00,  1.434420778968004e-02
11          ,  7.000000000000001e-02,  5.565382346616266e-02,  1.018834708782485e-01,  2.364158883361278e+00,  1.321231434733010e-02
12          ,  7.000000000000001e-02,  6.282019030897019e-02,  1.018834708782485e-01,  2.318403149864039e+00,  1.321231434733010e-02
13          ,  6.000000000000000e-02,  7.237690312701066e-02,  1.137038018475157e-01,  2.280723250595386e+00,  1.214158902695855e-02
14          ,  1.500000000000000e-01,  1.273995706391078e-01,  1.491647947553171e-01,  2.000000000000000e+00,  9.279430652720183e-03
15          ,  1.200000000000000e-01,  1.221017786029145e-01,  9.886048203146425e-03,  2.000000000000000e+00,  1.695293810364789e-01
16          ,  1.000000000000000e-01,  9.797658830181455e-02,  6.662415153827483e-03,  2.128317766722556e+00,  1.579746787355912e-01
17          ,  8.000000000000000e-02,  7.475601907253752e-02,  2.321087851080150e-02,  2.293700525984100e+00,  1.469573052739402e-01
18          ,  7.000000000000001e-02,  6.372067120434174e-02,  2.321087851080150e-02,  2.364158883361278e+00,  1.469573052739402e-01
19          ,  7.000000000000001e-02,  7.370329192385285e-02,  3.975934186777541e-02,  2.318403149864039e+00,  1.364644671077346e-01
20          ,  6.000000000000000e-02,  7.960480327817293e-02,  3.975934186777541e-02,  2.280723250595386e+00,  1.364644671077346e-01
21          ,  1.500000000000000e-01,  1.361138675555140e-01,  1.059531952956715e-01,  2.000000000000000e+00,  9.948259652153851e-02
22          ,  3.700000000000000e-01,  3.839835884429754e-01,  1.585290151921035e-01,  2.000000000000000e+00,  1.000000000000000e+00
23          ,  3.200000000000000e-01,  3.408281506089360e-01,  1.372524194474225e-01,  2.128317766722556e+00,  9.375186615682456e-01
24          ,  3.300000000000000e-01,  3.149255274455359e-01,  1.372524194474225e-01,  2.293700525984100e+00,  9.375186615682456e-01
25          ,  3.000000000000000e-01,  2.815122935035834e-01,  1.159758237027417e-01,  2.364158883361278e+00,  8.776956936324319e-01
26          ,  2.900000000000000e-01,  2.886786603463909e-01,  1.159758237027417e-01,  2.318403149864039e+00,  8.776956936324319e-01
27          ,  2.700000000000000e-01,  2.728676320150680e-01,  9.469922795806096e-02,  2.280723250595386e+00,  8.204733055296033e-01
28          ,  2.800000000000000e-01,  2.753469626383028e-01,  5.214603646869920e-02,  2.000000000000000e+00,  7.135991061710795e-01
29          ,  1.600000000000000e-01,  1.566272515593901e-01,  4.156471436249698e-02,  1.570818505338078e+00,  5.833456899862828e-04
30          ,  1.300000000000000e-01,  1.366900774532372e-01,  4.200720102800615e-02,  1.699136272060634e+00,  6.347862957661621e-04
31          ,  1.000000000000000e-01,  1.107874542898370e-01,  4.200720102800615e-02,  1.864519031322178e+00,  6.347862957661621e-04
32          ,  1.000000000000000e-01,  9.991125385057563e-02,  4.244351572592475e-02,  1.934977388699356e+00,  6.899527197300274e-04
33          ,  1.000000000000000e-01,  1.073927298100487e-01,  4.329729600418791e-02,  1.889221655202117e+00,  8.123233330072873e-04
34          ,  9.000000000000000e-02,  1.133723766164366e-01,  4.350675353374089e-02,  1.851541755933464e+00,  8.455881182291264e-04
35          ,  1.700000000000000e-01,  1.573398893477824e-01,  4.350675353374089e-02,  1.570818505338078e+00,  8.455881182291264e-04
