# c0 + a0 * ((Sn %^2) * (Cu %^6)) + a1 * (|(Pot - cDen) - (Cu % * Sn %)|) + a2 * (|sin(cDen) - (Pot * cDen)|) + a3 * (cbrt(Sn %) + (Cu % - Pot)) + a4 * ((exp(-1.0 * pH)) + (cDen^6))
# Property Label: $H2$; Unit of the Property: Unitless
# RMSE: 0.00742718673716187; Max AE: 0.0175905128515353
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  5.867855528064494e+00,  6.628222119754068e-02,  6.770431299553874e-01, -2.273006537236286e-01,  1.700237916841184e-01,  3.383978964283785e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|sq|5|sp|mult; ((Sn %^2) * (Cu %^6)); $\left(\left(Sn %^2\right) \left(Cu %^6\right)\right)$; ((Sn %).^2 .* (Cu %).^6); Sn %,Cu %
# 1;  2; Unitless;                                         1|0|sub|5|2|mult|abd; (|(Pot - cDen) - (Cu % * Sn %)|); $\left(\left|\left(Pot - cDen\right) - \left(Cu % Sn %\right)\right|\right)$; abs((Pot - cDen) - (Cu % .* Sn %)); Pot,cDen,Cu %,Sn %
# 2;  2; Unitless;                                         0|sin|1|0|mult|abd; (|sin(cDen) - (Pot * cDen)|); $\left(\left|\left(\sin{ cDen }\right) - \left(Pot cDen\right)\right|\right)$; abs(sin(cDen) - (Pot .* cDen)); cDen,Pot,cDen
# 3;  2; Unitless;                                         2|cbrt|5|1|sub|add; (cbrt(Sn %) + (Cu % - Pot)); $\left(\left(\sqrt[3]{ Sn % }\right) + \left(Cu % - Pot\right)\right)$; (nthroot(Sn %, 3) + (Cu % - Pot)); Sn %,Cu %,Pot
# 4;  2; Unitless;                                         3|nexp|0|sp|add; ((exp(-1.0 * pH)) + (cDen^6)); $\left(\left(\exp{ \left(-pH \right) } \right) + \left(cDen^6\right)\right)$; (exp(-1.0 * (pH)) + (cDen).^6); pH,cDen
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
1           ,  1.200000000000000e-01,  1.193166638228434e-01,  0.000000000000000e+00,  4.113475177304964e-01,  7.896774644154231e-02,  2.553191489361702e-01,  3.692511832839252e-01
2           ,  7.000000000000001e-02,  7.689570389060511e-02,  4.095999999999989e-05,  2.087943262411348e-01,  9.315214360466290e-02,  4.261901071480877e-01,  3.692511832839252e-01
3           ,  5.000000000000000e-02,  5.457493816079820e-02,  3.906250000000000e-03,  9.751773049645390e-02,  1.002443421862231e-01,  6.128494621543126e-01,  3.692511832839252e-01
4           ,  5.000000000000000e-02,  5.598302247934422e-02,  5.314410000000003e-03,  2.362411347517730e-01,  1.073365407677834e-01,  7.045844152761715e-01,  3.692511832839252e-01
5           ,  5.000000000000000e-02,  4.735494763262908e-02,  1.837729726562500e-03,  2.574645390070922e-01,  1.144287393493437e-01,  6.801052775236132e-01,  3.692511832839252e-01
6           ,  5.000000000000000e-02,  5.075465714903192e-02,  7.496748044361000e-04,  2.758645390070921e-01,  1.144287393493437e-01,  6.424253782549604e-01,  3.692511832839252e-01
7           ,  1.100000000000000e-01,  1.092036250735041e-01,  0.000000000000000e+00,  2.624113475177305e-01,  1.286131365124643e-01,  4.042553191489362e-01,  3.692511832839252e-01
8           ,  1.200000000000000e-01,  1.240886140702153e-01,  0.000000000000000e+00,  2.955082742316785e-01,  5.460214700117993e-02,  1.489361702127660e-01,  3.972806352833005e-01
9           ,  1.000000000000000e-01,  8.806995323920995e-02,  4.095999999999989e-05,  9.295508274231679e-02,  7.824280893971425e-02,  3.198071284246834e-01,  3.972806352833005e-01
10          ,  8.000000000000000e-02,  7.137911821501215e-02,  3.906250000000000e-03,  1.832151300236406e-02,  9.006313990898135e-02,  5.064664834309083e-01,  3.972806352833005e-01
11          ,  7.000000000000001e-02,  7.355957092918203e-02,  5.314410000000003e-03,  1.204018912529550e-01,  1.018834708782485e-01,  5.982014365527673e-01,  3.972806352833005e-01
12          ,  7.000000000000001e-02,  6.637621590380109e-02,  1.837729726562500e-03,  1.629018912529551e-01,  1.018834708782485e-01,  5.524457030555280e-01,  3.972806352833005e-01
