# c0 + a0 * (|(cDen^3) - (|Cu % - weight|)|) + a1 * ((Sn %^2) * (Cu %^6)) + a2 * (|(Pot / pH) - cbrt(weight)|) + a3 * (|sin(cDen) - (Pot * cDen)|) + a4 * (cbrt(Sn %) + (Cu % - Pot)) + a5 * ((exp(-1.0 * pH)) + (cDen^6))
# Property Label: $H2$; Unit of the Property: Unitless
# RMSE: 0.00638823127971066; Max AE: 0.015376441027366
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      a5                      c0
# all ,  1.863778473177432e-02,  5.910962254915521e+00,  4.228183481178416e-02,  7.127487610097909e-01, -2.265716650451252e-01,  1.669467979327007e-01,  2.992789562320270e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|cb|5|4|abd|abd; (|(cDen^3) - (|Cu % - weight|)|); $\left(\left|\left(cDen^3\right) - \left(\left|Cu % - weight\right|\right)\right|\right)$; abs((cDen).^3 - abs(Cu % - weight)); cDen,Cu %,weight
# 1;  2; Unitless;                                         2|sq|5|sp|mult; ((Sn %^2) * (Cu %^6)); $\left(\left(Sn %^2\right) \left(Cu %^6\right)\right)$; ((Sn %).^2 .* (Cu %).^6); Sn %,Cu %
# 2;  2; Unitless;                                         1|3|div|4|cbrt|abd; (|(Pot / pH) - cbrt(weight)|); $\left(\left|\left(\frac{ Pot }{ pH } \right) - \left(\sqrt[3]{ weight }\right)\right|\right)$; abs((Pot ./ pH) - nthroot(weight, 3)); Pot,pH,weight
# 3;  2; Unitless;                                         0|sin|1|0|mult|abd; (|sin(cDen) - (Pot * cDen)|); $\left(\left|\left(\sin{ cDen }\right) - \left(Pot cDen\right)\right|\right)$; abs(sin(cDen) - (Pot .* cDen)); cDen,Pot,cDen
# 4;  2; Unitless;                                         2|cbrt|5|1|sub|add; (cbrt(Sn %) + (Cu % - Pot)); $\left(\left(\sqrt[3]{ Sn % }\right) + \left(Cu % - Pot\right)\right)$; (nthroot(Sn %, 3) + (Cu % - Pot)); Sn %,Cu %,Pot
# 5;  2; Unitless;                                         3|nexp|0|sp|add; ((exp(-1.0 * pH)) + (cDen^6)); $\left(\left(\exp{ \left(-pH \right) } \right) + \left(cDen^6\right)\right)$; (exp(-1.0 * (pH)) + (cDen).^6); pH,cDen
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      ,  Feature 5 Value      
1           ,  1.200000000000000e-01,  1.187521355368667e-01,  9.629629629629630e-01,  0.000000000000000e+00,  2.553191489361702e-01,  7.896774644154231e-02,  2.553191489361702e-01,  3.692511832839252e-01
2           ,  7.000000000000001e-02,  8.537644102736601e-02,  6.700238676887655e-01,  4.095999999999989e-05,  2.658800501366988e-01,  9.315214360466290e-02,  4.261901071480877e-01,  3.692511832839252e-01
3           ,  5.000000000000000e-02,  6.148277686367935e-02,  2.306152247774689e-01,  3.906250000000000e-03,  2.347820937728530e-01,  1.002443421862231e-01,  6.128494621543126e-01,  3.692511832839252e-01
4           ,  5.000000000000000e-02,  5.250138329274167e-02,  2.811888916968523e-01,  5.314410000000003e-03,  1.752300429133171e-01,  1.073365407677834e-01,  7.045844152761715e-01,  3.692511832839252e-01
5           ,  5.000000000000000e-02,  4.434034582375873e-02,  3.544236655154017e-01,  1.837729726562500e-03,  1.852419002743086e-01,  1.144287393493437e-01,  6.801052775236132e-01,  3.692511832839252e-01
6           ,  5.000000000000000e-02,  4.679784870597052e-02,  3.837175750428214e-01,  7.496748044361000e-04,  1.806485178337423e-01,  1.144287393493437e-01,  6.424253782549604e-01,  3.692511832839252e-01
7           ,  1.100000000000000e-01,  1.087617587603621e-01,  4.276584393339510e-01,  0.000000000000000e+00,  2.162134549929131e-01,  1.286131365124643e-01,  4.042553191489362e-01,  3.692511832839252e-01
8           ,  1.200000000000000e-01,  1.231648221206484e-01,  8.285322359396433e-01,  0.000000000000000e+00,  1.489361702127660e-01,  5.460214700117993e-02,  1.489361702127660e-01,  3.972806352833005e-01
9           ,  1.000000000000000e-01,  9.652906861360436e-02,  5.355931406654458e-01,  4.095999999999989e-05,  1.594970714132945e-01,  7.824280893971425e-02,  3.198071284246834e-01,  3.972806352833005e-01
10          ,  8.000000000000000e-02,  7.600537495114601e-02,  9.618449775414928e-02,  3.906250000000000e-03,  1.283991150494487e-01,  9.006313990898135e-02,  5.064664834309083e-01,  3.972806352833005e-01
11          ,  7.000000000000001e-02,  7.039395188143664e-02,  1.467581646735326e-01,  5.314410000000003e-03,  6.884706418991282e-02,  1.018834708782485e-01,  5.982014365527673e-01,  3.972806352833005e-01
12          ,  7.000000000000001e-02,  6.109901887834189e-02,  2.199929384920820e-01,  1.837729726562500e-03,  5.758232580622347e-02,  1.018834708782485e-01,  5.524457030555280e-01,  3.972806352833005e-01
13          ,  6.000000000000000e-02,  6.806038779589386e-02,  2.492868480195017e-01,  7.496748044361000e-04,  7.426553911033795e-02,  1.137038018475157e-01,  5.360423995315561e-01,  3.972806352833005e-01
14          ,  1.500000000000000e-01,  1.412681048880822e-01,  2.932277123106314e-01,  0.000000000000000e+00,  1.311070720141897e-01,  1.491647947553171e-01,  3.191489361702128e-01,  3.972806352833005e-01
15          ,  1.200000000000000e-01,  1.295330241256121e-01,  5.294924554183813e-01,  0.000000000000000e+00,  8.510638297872353e-02,  9.886048203146425e-03,  8.510638297872353e-02,  5.892567906796662e-01
16          ,  1.000000000000000e-01,  8.767083786830474e-02,  2.365533601441838e-01,  4.095999999999989e-05,  7.439068843457108e-02,  6.662415153827483e-03,  2.347007454459601e-01,  5.892567906796662e-01
17          ,  8.000000000000000e-02,  7.807866089090809e-02,  2.028552827671127e-01,  3.906250000000000e-03,  4.329273207072537e-02,  2.321087851080150e-02,  4.213601004521850e-01,  5.892567906796662e-01
18          ,  7.000000000000001e-02,  6.925238422720738e-02,  1.522816158477294e-01,  5.314410000000003e-03,  3.753591453349137e-02,  2.321087851080150e-02,  4.918184578293631e-01,  5.892567906796662e-01
19          ,  7.000000000000001e-02,  6.425478046386729e-02,  7.904684202918000e-02,  1.837729726562500e-03,  2.752405717249995e-02,  3.975934186777541e-02,  4.673393200768046e-01,  5.892567906796662e-01
20          ,  6.000000000000000e-02,  6.600876946178960e-02,  4.975293250176027e-02,  7.496748044361000e-04,  3.211743961306635e-02,  3.975934186777541e-02,  4.296594208081518e-01,  5.892567906796662e-01
21          ,  1.500000000000000e-01,  1.528463453024649e-01,  5.812068210630628e-03,  0.000000000000000e+00,  4.600068903546628e-02,  1.059531952956715e-01,  2.340425531914894e-01,  5.892567906796662e-01
22          ,  3.700000000000000e-01,  3.712823474470212e-01,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  1.585290151921035e-01,  0.000000000000000e+00,  1.367879441171442e+00
23          ,  3.200000000000000e-01,  3.283785644437397e-01,  2.929390952741975e-01,  4.095999999999989e-05,  1.071569454415222e-02,  1.372524194474225e-01,  1.495943624672368e-01,  1.367879441171442e+00
24          ,  3.300000000000000e-01,  3.241591964588527e-01,  7.323477381854940e-01,  3.906250000000000e-03,  6.309024665267882e-02,  1.372524194474225e-01,  3.149771217287808e-01,  1.367879441171442e+00
25          ,  3.000000000000000e-01,  2.981087576005571e-01,  6.817740712661107e-01,  5.314410000000003e-03,  1.226422975122148e-01,  1.159758237027417e-01,  4.067120748506397e-01,  1.367879441171442e+00
26          ,  2.900000000000000e-01,  2.870365443139160e-01,  6.085392974475613e-01,  1.837729726562500e-03,  1.339070358959041e-01,  1.159758237027417e-01,  3.609563413534004e-01,  1.367879441171442e+00
27          ,  2.700000000000000e-01,  2.679053788253128e-01,  5.792453879201416e-01,  7.496748044361000e-04,  1.172238225917898e-01,  9.469922795806096e-02,  3.445530378294284e-01,  1.367879441171442e+00
28          ,  2.800000000000000e-01,  2.847842205296809e-01,  5.353045236290119e-01,  0.000000000000000e+00,  8.165888543261879e-02,  5.214603646869920e-02,  1.063829787234043e-01,  1.367879441171442e+00
29          ,  1.600000000000000e-01,  1.591246350770328e-01,  9.692376296296297e-01,  0.000000000000000e+00,  4.909534673953417e-01,  4.156471436249698e-02,  1.489361702127660e-01,  5.660090659254351e-01
30          ,  1.300000000000000e-01,  1.264911030335354e-01,  6.749708416256653e-01,  4.095999999999989e-05,  5.229457576841749e-01,  4.200720102800615e-02,  2.772539369353216e-01,  5.660925146444020e-01
31          ,  1.000000000000000e-01,  1.058925276569247e-01,  2.355621987143688e-01,  3.906250000000000e-03,  5.753203097927015e-01,  4.200720102800615e-02,  4.426366961968657e-01,  5.660925146444020e-01
32          ,  1.000000000000000e-01,  1.029128816299400e-01,  2.847705103525450e-01,  5.314410000000003e-03,  6.561489563969183e-01,  4.244351572592475e-02,  5.130950535740439e-01,  5.661820075137021e-01
33          ,  1.000000000000000e-01,  9.515916881830262e-02,  3.551594789584743e-01,  1.837729726562500e-03,  6.674136947806076e-01,  4.329729600418791e-02,  4.673393200768046e-01,  5.663805213290503e-01
34          ,  9.000000000000000e-02,  9.814969063427023e-02,  3.837175750428214e-01,  7.496748044361000e-04,  6.720070772211740e-01,  4.350675353374089e-02,  4.296594208081518e-01,  5.664344846071141e-01
35          ,  1.700000000000000e-01,  1.584367620508618e-01,  4.276584393339510e-01,  0.000000000000000e+00,  6.789953315513648e-01,  4.350675353374089e-02,  1.489361702127660e-01,  5.664344846071141e-01
