# c0 + a0 * (cbrt(Sn %) + (|weight - pH|))
# Property Label: $C2H4$; Unit of the Property: Unitless
# RMSE: 0.0439106366052205; Max AE: 0.119363450548747
# Coefficients
# Task   a0                      c0
# all , -3.278840906576388e-01,  3.492424242132026e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|cbrt|4|3|abd|add; (cbrt(Sn %) + (|weight - pH|)); $\left(\left(\sqrt[3]{ Sn % }\right) + \left(\left|weight - pH\right|\right)\right)$; (nthroot(Sn %, 3) + abs(weight - pH)); Sn %,weight,pH
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
1           ,  0.000000000000000e+00,  2.135833355556371e-02,  1.000000000000000e+00
2           ,  0.000000000000000e+00,  1.438854668952328e-02,  1.021256861996753e+00
3           ,  0.000000000000000e+00,  1.281752214510649e-02,  1.026048264169594e+00
4           ,  1.000000000000000e-02,  5.992248248926715e-02,  8.823848120951672e-01
5           ,  4.000000000000000e-02,  8.370095140713364e-02,  8.098638524164774e-01
6           ,  7.000000000000001e-02,  9.956594765400770e-02,  7.614778626752443e-01
7           ,  1.500000000000000e-01,  1.968761705105828e-01,  4.646954763709881e-01
8           ,  0.000000000000000e+00,  2.135833355556371e-02,  1.000000000000000e+00
9           ,  0.000000000000000e+00,  1.438854668952328e-02,  1.021256861996753e+00
10          ,  2.000000000000000e-02,  1.281752214510649e-02,  1.026048264169594e+00
11          ,  6.000000000000000e-02,  5.992248248926715e-02,  8.823848120951672e-01
12          ,  8.000000000000000e-02,  8.370095140713364e-02,  8.098638524164774e-01
13          ,  9.000000000000000e-02,  9.956594765400770e-02,  7.614778626752443e-01
14          ,  3.100000000000000e-01,  1.968761705105828e-01,  4.646954763709881e-01
15          ,  0.000000000000000e+00,  2.135833355556371e-02,  1.000000000000000e+00
16          ,  0.000000000000000e+00,  1.438854668952328e-02,  1.021256861996753e+00
17          ,  2.000000000000000e-02,  1.281752214510649e-02,  1.026048264169594e+00
18          ,  6.000000000000000e-02,  5.992248248926715e-02,  8.823848120951672e-01
19          ,  8.000000000000000e-02,  8.370095140713364e-02,  8.098638524164774e-01
20          ,  9.000000000000000e-02,  9.956594765400770e-02,  7.614778626752443e-01
21          ,  3.100000000000000e-01,  1.968761705105828e-01,  4.646954763709881e-01
22          ,  0.000000000000000e+00,  2.135833355556371e-02,  1.000000000000000e+00
23          ,  0.000000000000000e+00,  1.438854668952328e-02,  1.021256861996753e+00
24          ,  2.000000000000000e-02,  1.281752214510649e-02,  1.026048264169594e+00
25          ,  3.000000000000000e-02,  5.992248248926715e-02,  8.823848120951672e-01
26          ,  6.000000000000000e-02,  8.370095140713364e-02,  8.098638524164774e-01
27          ,  1.000000000000000e-01,  9.956594765400770e-02,  7.614778626752443e-01
28          ,  2.500000000000000e-01,  1.968761705105828e-01,  4.646954763709881e-01
29          ,  0.000000000000000e+00, -1.193634505487468e-01,  1.429181494661922e+00
30          ,  0.000000000000000e+00, -6.538673593373936e-02,  1.264560166110280e+00
31          ,  1.000000000000000e-02,  2.446199174341570e-02,  9.905342824605275e-01
32          ,  1.100000000000000e-01,  1.934599550496721e-01,  4.751144492893104e-01
33          ,  2.100000000000000e-01,  2.244227355114441e-01,  3.806823577545556e-01
34          ,  2.400000000000000e-01,  2.402877317583182e-01,  3.322963680133225e-01
35          ,  3.700000000000000e-01,  3.375979546148933e-01,  3.551398170906628e-02
