# c0 + a0 * ((pH - Pot) * (Cu % / cDen)) + a1 * ((Cu % / Pot) - (Cu % / pH)) + a2 * ((Cu %^6) * (Cu % - pH)) + a3 * cbrt(sqrt(Sn %))
# Property Label: $C2H4$; Unit of the Property: Unitless
# RMSE: 0.0158019346340084; Max AE: 0.0441956442698865
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -3.160577497294035e-01,  5.460642074535786e-01,  5.505368414704900e-01, -2.106117548301835e-01,  2.069561543854506e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         3|1|sub|5|0|div|mult; ((pH - Pot) * (Cu % / cDen)); $\left(\left(pH - Pot\right) \left(\frac{ Cu % }{ cDen } \right)\right)$; ((pH - Pot) .* (Cu % ./ cDen)); pH,Pot,Cu %,cDen
# 1;  2; Unitless;                                         5|1|div|5|3|div|sub; ((Cu % / Pot) - (Cu % / pH)); $\left(\left(\frac{ Cu % }{ Pot } \right) - \left(\frac{ Cu % }{ pH } \right)\right)$; ((Cu % ./ Pot) - (Cu % ./ pH)); Cu %,Pot,Cu %,pH
# 2;  2; Unitless;                                         5|sp|5|3|sub|mult; ((Cu %^6) * (Cu % - pH)); $\left(\left(Cu %^6\right) \left(Cu % - pH\right)\right)$; ((Cu %).^6 .* (Cu % - pH)); Cu %,Cu %,pH
# 3;  2; Unitless;                                         2|sqrt|cbrt; cbrt(sqrt(Sn %)); $\left(\sqrt[3]{ \left(\sqrt{ Sn % }\right) }\right)$; nthroot(sqrt(Sn %), 3); Sn %
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
1           ,  0.000000000000000e+00, -3.655600444732870e-03,  0.000000000000000e+00,  0.000000000000000e+00, -0.000000000000000e+00,  1.000000000000000e+00
2           ,  0.000000000000000e+00, -6.149072262043525e-03,  1.787234042553191e-01,  8.484848484848484e-02, -5.119999999999985e-05,  9.634924839989961e-01
3           ,  0.000000000000000e+00, -8.299100361838717e-03,  4.787234042553192e-01,  2.343750000000000e-01, -7.812500000000000e-03,  8.908987181403393e-01
4           ,  1.000000000000000e-02, -2.638261370253350e-03,  9.191489361702130e-01,  4.645161290322583e-01, -5.314410000000001e-02,  6.812920690579612e-01
5           ,  4.000000000000000e-02,  2.704411288782569e-02,  1.030851063829787e+00,  5.383333333333336e-01, -3.675459453125003e-02,  6.069622310029172e-01
6           ,  7.000000000000001e-02,  4.328402605320791e-02,  1.052553191489362e+00,  5.496666666666667e-01, -2.498916014787002e-02,  5.574255561017865e-01
7           ,  1.500000000000000e-01,  1.941956442698865e-01,  1.212765957446809e+00,  6.785714285714286e-01,  0.000000000000000e+00,  0.000000000000000e+00
8           ,  0.000000000000000e+00, -3.655600444732870e-03,  0.000000000000000e+00,  0.000000000000000e+00, -0.000000000000000e+00,  1.000000000000000e+00
9           ,  0.000000000000000e+00,  8.083512546469003e-03,  6.893617021276595e-02,  4.736842105263156e-02, -5.119999999999985e-05,  9.634924839989961e-01
10          ,  2.000000000000000e-02,  2.829210661797006e-02,  1.914893617021276e-01,  1.351351351351351e-01, -7.812500000000000e-03,  8.908987181403393e-01
11          ,  6.000000000000000e-02,  6.454494868395443e-02,  3.791489361702127e-01,  2.750000000000000e-01, -5.314410000000001e-02,  6.812920690579612e-01
