# c0 + a0 * ((Pot - cDen) / (Pot^6))
# Property Label: $CO$; Unit of the Property: Unitless
# RMSE: 0.0757396010522863; Max AE: 0.208223404020417
# Coefficients
# Task   a0                      c0
# all ,  6.249472314478992e-02,  1.383660339372293e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         1|0|sub|1|sp|div; ((Pot - cDen) / (Pot^6)); $\left(\frac{ \left(Pot - cDen\right) }{ \left(Pot^6\right) } \right)$; ((Pot - cDen) ./ (Pot).^6); Pot,cDen,Pot
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
1           ,  2.300000000000000e-01,  2.891069363557041e-01,  2.412058087996215e+00
2           ,  2.300000000000000e-01,  3.307332623366445e-01,  3.078135540399662e+00
3           ,  3.400000000000000e-01,  3.563916857405131e-01,  3.488704979109268e+00
4           ,  4.200000000000000e-01,  3.859936359786252e-01,  3.962376174828134e+00
5           ,  4.800000000000000e-01,  4.201733804555244e-01,  4.509298262917241e+00
6           ,  5.000000000000000e-01,  4.201733804555244e-01,  4.509298262917241e+00
7           ,  4.700000000000000e-01,  5.051960961117677e-01,  5.869776578170511e+00
8           ,  2.200000000000000e-01,  1.869664731092701e-01,  7.776726854112413e-01
9           ,  1.700000000000000e-01,  1.949602862502232e-01,  9.055844952200905e-01
10          ,  3.600000000000000e-01,  1.991943592605800e-01,  9.733353835718513e-01
11          ,  2.300000000000000e-01,  2.034786479254106e-01,  1.041889790235988e+00
12          ,  1.200000000000000e-01,  2.034786479254106e-01,  1.041889790235988e+00
13          ,  5.000000000000000e-02,  2.076721959687119e-01,  1.108992224366076e+00
14          ,  1.500000000000000e-01,  2.169739220023588e-01,  1.257832407433953e+00
15          ,  2.200000000000000e-01,  1.529779574021218e-01,  2.338105159861104e-01
16          ,  1.700000000000000e-01,  1.525824611666730e-01,  2.274820419078673e-01
17          ,  3.600000000000000e-01,  1.517765959795829e-01,  2.145871101994248e-01
18          ,  2.300000000000000e-01,  1.517765959795829e-01,  2.145871101994248e-01
19          ,  1.200000000000000e-01,  1.504189428518954e-01,  1.928628259819879e-01
20          ,  5.000000000000000e-02,  1.504189428518954e-01,  1.928628259819879e-01
21          ,  1.500000000000000e-01,  1.347080219154214e-01, -5.853313428292078e-02
22          ,  1.800000000000000e-01,  1.383660339372293e-01,  0.000000000000000e+00
23          ,  1.000000000000000e-01,  1.368532195432497e-01, -2.420707409927485e-02
24          ,  1.900000000000000e-01,  1.368532195432497e-01, -2.420707409927485e-02
25          ,  1.000000000000000e-01,  1.349139006848279e-01, -5.523879583246315e-02
26          ,  1.000000000000000e-01,  1.349139006848279e-01, -5.523879583246315e-02
27          ,  5.000000000000000e-02,  1.324403588624445e-01, -9.481880671838454e-02
28          ,  9.000000000000000e-02,  1.253101313795769e-01, -2.089120793031436e-01
29          ,  2.200000000000000e-01,  2.268032810898086e-01,  1.415115432189128e+00
30          ,  1.900000000000000e-01,  2.260723304846610e-01,  1.403419235000543e+00
31          ,  2.700000000000000e-01,  2.260723304846610e-01,  1.403419235000543e+00
32          ,  3.300000000000000e-01,  2.253413798795136e-01,  1.391723037811957e+00
33          ,  2.800000000000000e-01,  2.238794786692186e-01,  1.368330643434787e+00
34          ,  1.800000000000000e-01,  2.235140033666448e-01,  1.362482544840495e+00
35          ,  1.300000000000000e-01,  2.235140033666448e-01,  1.362482544840495e+00
