# c0 + a0 * (|(Cu %^6) - (|weight - cDen|)|) + a1 * (ln(cDen) / (Pot^3))
# Property Label: $CO$; Unit of the Property: Unitless
# RMSE: 0.0553884940224251; Max AE: 0.118777147419907
# Coefficients
# Task   a0                      a1                      c0
# all , -2.581083511586026e-01, -8.664956150583759e-02,  2.098383914436108e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         5|sp|4|0|abd|abd; (|(Cu %^6) - (|weight - cDen|)|); $\left(\left|\left(Cu %^6\right) - \left(\left|weight - cDen\right|\right)\right|\right)$; abs((Cu %).^6 - abs(weight - cDen)); Cu %,weight,cDen
# 1;  2; Unitless;                                         0|log|1|cb|div; (ln(cDen) / (Pot^3)); $\left(\frac{ \left(\ln{ cDen }\right) }{ \left(Pot^3\right) } \right)$; (log(cDen) ./ (Pot).^3); cDen,Pot
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
1           ,  2.300000000000000e-01,  2.682817261723690e-01,  6.666666666666667e-01, -2.660320085046978e+00
2           ,  2.300000000000000e-01,  3.367899552975566e-01,  5.736635713924690e-01, -3.173921686462120e+00
3           ,  3.400000000000000e-01,  4.033860506933253e-01,  4.186939284811727e-01, -3.480872303661779e+00
4           ,  4.200000000000000e-01,  4.685500638269916e-01,  2.830002620672228e-01, -3.828714163552387e+00
5           ,  4.800000000000000e-01,  4.442827613684537e-01,  5.098859265107720e-01, -4.224489764681081e+00
6           ,  5.000000000000000e-01,  4.166202507902932e-01,  6.170599503421916e-01, -4.224489764681081e+00
7           ,  4.700000000000000e-01,  4.540862115736358e-01,  7.980288097043213e-01, -5.195937666107379e+00
8           ,  2.200000000000000e-01,  1.777463286520314e-01,  4.444444444444444e-01, -9.535277329708234e-01
9           ,  1.700000000000000e-01,  2.154955647883595e-01,  3.514413491702468e-01, -1.112147815099371e+00
10          ,  3.600000000000000e-01,  2.635211536425538e-01,  1.964717062589504e-01, -1.204781057590522e+00
11          ,  2.300000000000000e-01,  1.927733683223189e-01,  5.052224842894451e-01, -1.307994146736383e+00
12          ,  1.200000000000000e-01,  1.342122835712705e-01,  7.321081487329942e-01, -1.307994146736383e+00
13          ,  5.000000000000000e-02,  1.198020008672455e-01,  8.266618372935859e-01, -1.423341688866069e+00
14          ,  1.500000000000000e-01,  1.183295787635342e-01,  9.797489680734563e-01, -1.862358853458639e+00
15          ,  2.200000000000000e-01,  1.809172088178943e-01,  2.222222222222222e-01, -3.281751026627658e-01
16          ,  1.700000000000000e-01,  2.070019883378492e-01,  1.292191269480246e-01, -3.521787318784218e-01
17          ,  3.600000000000000e-01,  2.412228525800925e-01,  5.499484036728175e-03, -3.785815337474575e-01
18          ,  2.300000000000000e-01,  1.560631485976575e-01,  3.354372934883331e-01, -3.785815337474575e-01
19          ,  1.200000000000000e-01,  1.120185563769246e-01,  5.158534102947834e-01, -4.076909044907580e-01
20          ,  5.000000000000000e-02,  8.915371712664318e-02,  6.044396150713637e-01, -4.076909044907580e-01
21          ,  1.500000000000000e-01,  6.277290059631847e-02,  7.575267458512341e-01, -5.592467825661975e-01
22          ,  1.800000000000000e-01,  2.098383914436108e-01,  0.000000000000000e+00,  0.000000000000000e+00
23          ,  1.000000000000000e-01,  1.858665537386895e-01,  9.287509527419764e-02,  0.000000000000000e+00
24          ,  1.900000000000000e-01,  1.539004428319754e-01,  2.167227381854940e-01,  0.000000000000000e+00
25          ,  1.000000000000000e-01,  1.806166360728113e-01,  1.132150712661109e-01,  0.000000000000000e+00
26          ,  1.000000000000000e-01,  1.340497296414605e-01,  2.936311880725612e-01,  0.000000000000000e+00
27          ,  5.000000000000000e-02,  1.111848903911790e-01,  3.822173928491415e-01,  0.000000000000000e+00
28          ,  9.000000000000000e-02,  7.167182348198531e-02,  5.353045236290119e-01,  0.000000000000000e+00
29          ,  2.200000000000000e-01,  1.957289840465511e-01,  6.866666666666666e-01, -1.882583026353315e+00
30          ,  1.900000000000000e-01,  2.189011737487342e-01,  5.892191269480246e-01, -1.859734277154224e+00
31          ,  2.700000000000000e-01,  2.589001327602063e-01,  4.342494840367282e-01, -1.859734277154224e+00
32          ,  3.300000000000000e-01,  2.988543551122879e-01,  2.718891509561117e-01, -1.837202881968959e+00
33          ,  2.800000000000000e-01,  2.341738154980544e-01,  5.076637042885498e-01, -1.793057725987021e+00
34          ,  1.800000000000000e-01,  2.049974871850738e-01,  6.170599503421916e-01, -1.782206619474831e+00
35          ,  1.300000000000000e-01,  1.582879132840614e-01,  7.980288097043213e-01, -1.782206619474831e+00
