# c0 + a0 * (|(Cu % / cDen) - (1.0 / weight)|) + a1 * (|(exp(-1.0 * Pot)) - (Cu %^2)|) + a2 * ((pH - cDen) / (weight * cDen))
# Property Label: $CO$; Unit of the Property: Unitless
# RMSE: 0.0471119897328879; Max AE: 0.0961920262626734
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.125325009922978e-01, -5.341844159351353e-01,  7.855348236927703e-02,  2.630605460651455e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         5|0|div|4|inv|abd; (|(Cu % / cDen) - (1.0 / weight)|); $\left(\left|\left(\frac{ Cu % }{ cDen } \right) - \left(\frac{1.0}{ weight }\right)\right|\right)$; abs((Cu % ./ cDen) - (weight).^(-1)); Cu %,cDen,weight
# 1;  2; Unitless;                                         1|nexp|5|sq|abd; (|(exp(-1.0 * Pot)) - (Cu %^2)|); $\left(\left|\left(\exp{ \left(-Pot \right) } \right) - \left(Cu %^2\right)\right|\right)$; abs(exp(-1.0 * (Pot)) - (Cu %).^2); Pot,Cu %
# 2;  2; Unitless;                                         3|0|sub|4|0|mult|div; ((pH - cDen) / (weight * cDen)); $\left(\frac{ \left(pH - cDen\right) }{ \left(weight cDen\right) } \right)$; ((pH - cDen) ./ (weight .* cDen)); pH,cDen,weight,cDen
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
1           ,  2.300000000000000e-01,  2.790233993551020e-01,  1.000000000000000e+00,  4.748858350665527e-01,  2.000000000000000e+00
2           ,  2.300000000000000e-01,  2.494713033311466e-01,  5.024618024985793e-01,  4.555298625232769e-01,  2.204923604997159e+00
3           ,  3.400000000000000e-01,  3.530746798329225e-01,  1.973268369765604e-01,  2.561860123895797e-01,  2.605346326046880e+00
4           ,  4.200000000000000e-01,  4.870385302275256e-01,  9.811196830692246e-01,  2.929286819685303e-01,  3.437760633861552e+00
5           ,  4.800000000000000e-01,  4.636334039591574e-01,  1.059615680454632e+00,  3.743092926577571e-01,  3.580768639090737e+00
6           ,  5.000000000000000e-01,  4.512230786192523e-01,  1.089320169101909e+00,  4.127092926577571e-01,  3.641359661796184e+00
7           ,  4.700000000000000e-01,  4.441597894937743e-01,  1.131904447172128e+00,  4.488480193166992e-01,  3.736191105655746e+00
8           ,  2.200000000000000e-01,  2.103601999262663e-01,  1.000000000000000e+00,  4.269604769868339e-01,  7.999999999999999e-01
9           ,  1.700000000000000e-01,  1.992703409446314e-01,  7.424618024985792e-01,  4.055211144263923e-01,  8.819694419988632e-01
10          ,  3.600000000000000e-01,  2.806757637903006e-01,  4.026731630234397e-01,  2.051018483497830e-01,  1.042138530418751e+00
11          ,  2.300000000000000e-01,  1.978538977766100e-01,  9.888031693077570e-02,  3.451113882940148e-01,  1.375104253544621e+00
12          ,  1.200000000000000e-01,  1.508539491854576e-01,  8.038431954536862e-02,  4.376113882940147e-01,  1.432307455636294e+00
13          ,  5.000000000000000e-02,  1.369435424945575e-01,  7.467983089809183e-02,  4.660141649334472e-01,  1.456543864718473e+00
14          ,  1.500000000000000e-01,  1.243321012375979e-01,  6.809555282787261e-02,  4.938139876104203e-01,  1.494476442262298e+00
15          ,  2.200000000000000e-01,  1.840643973609661e-01,  1.000000000000000e+00,  4.005592365090020e-01,  2.857142857142857e-01
