# c0 + a0 * (|(Cu %^6) - cos(weight)|)
# Property Label: $EtoH$; Unit of the Property: Unitless
# RMSE: 0.0850490088303621; Max AE: 0.245449005604908
# Coefficients
# Task   a0                      c0
# all , -3.916827745819957e-01,  2.423637733748253e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         5|sp|4|cos|abd; (|(Cu %^6) - cos(weight)|); $\left(\left|\left(Cu %^6\right) - \left(\cos{ weight }\right)\right|\right)$; abs((Cu %).^6 - cos(weight)); Cu %,weight
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
1           ,  0.000000000000000e+00,  3.073666709934224e-02,  5.403023058681398e-01
2           ,  0.000000000000000e+00,  1.087371454283966e-03,  6.159995220061230e-01
3           ,  3.000000000000000e-02, -3.334879482021970e-02,  7.039180328756754e-01
4           ,  2.000000000000000e-02,  1.232733697275465e-01,  3.040481005946003e-01
5           ,  1.000000000000000e-01,  1.981278175098605e-01,  1.129382212740232e-01
6           ,  1.100000000000000e-01,  2.345509943950923e-01,  1.994670045950020e-02
7           ,  6.000000000000000e-02,  1.875725746340942e-01,  1.398866692547415e-01
8           ,  0.000000000000000e+00,  3.073666709934224e-02,  5.403023058681398e-01
9           ,  0.000000000000000e+00,  1.087371454283966e-03,  6.159995220061230e-01
10          ,  2.000000000000000e-02, -3.334879482021970e-02,  7.039180328756754e-01
11          ,  1.200000000000000e-01,  1.232733697275465e-01,  3.040481005946003e-01
12          ,  3.200000000000000e-01,  1.981278175098605e-01,  1.129382212740232e-01
13          ,  4.800000000000000e-01,  2.345509943950923e-01,  1.994670045950020e-02
14          ,  1.400000000000000e-01,  1.875725746340942e-01,  1.398866692547415e-01
15          ,  0.000000000000000e+00,  3.073666709934224e-02,  5.403023058681398e-01
16          ,  0.000000000000000e+00,  1.087371454283966e-03,  6.159995220061230e-01
17          ,  2.000000000000000e-02, -3.334879482021970e-02,  7.039180328756754e-01
18          ,  1.200000000000000e-01,  1.232733697275465e-01,  3.040481005946003e-01
19          ,  3.200000000000000e-01,  1.981278175098605e-01,  1.129382212740232e-01
20          ,  4.800000000000000e-01,  2.345509943950923e-01,  1.994670045950020e-02
21          ,  1.400000000000000e-01,  1.875725746340942e-01,  1.398866692547415e-01
22          ,  0.000000000000000e+00,  3.073666709934224e-02,  5.403023058681398e-01
23          ,  0.000000000000000e+00,  1.087371454283966e-03,  6.159995220061230e-01
24          ,  2.000000000000000e-02, -3.334879482021970e-02,  7.039180328756754e-01
25          ,  7.000000000000001e-02,  1.232733697275465e-01,  3.040481005946003e-01
26          ,  2.100000000000000e-01,  1.981278175098605e-01,  1.129382212740232e-01
27          ,  2.600000000000000e-01,  2.345509943950923e-01,  1.994670045950020e-02
28          ,  1.100000000000000e-01,  1.875725746340942e-01,  1.398866692547415e-01
29          ,  0.000000000000000e+00,  3.073666709934224e-02,  5.403023058681398e-01
30          ,  0.000000000000000e+00,  1.087371454283966e-03,  6.159995220061230e-01
31          ,  2.000000000000000e-02, -3.334879482021970e-02,  7.039180328756754e-01
32          ,  4.000000000000000e-02,  1.232733697275465e-01,  3.040481005946003e-01
33          ,  1.400000000000000e-01,  1.981278175098605e-01,  1.129382212740232e-01
34          ,  2.500000000000000e-01,  2.345509943950923e-01,  1.994670045950020e-02
35          ,  1.100000000000000e-01,  1.875725746340942e-01,  1.398866692547415e-01
