# c0 + a0 * (|(Pot / weight) - (Cu % / cDen)|) + a1 * (|(Cu %^6) - cos(weight)|)
# Property Label: $EtoH$; Unit of the Property: Unitless
# RMSE: 0.0631367164051325; Max AE: 0.173283308277844
# Coefficients
# Task   a0                      a1                      c0
# all , -1.243534781922563e-01, -4.630421016569123e-01,  3.644724216916952e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         1|4|div|5|0|div|abd; (|(Pot / weight) - (Cu % / cDen)|); $\left(\left|\left(\frac{ Pot }{ weight } \right) - \left(\frac{ Cu % }{ cDen } \right)\right|\right)$; abs((Pot ./ weight) - (Cu % ./ cDen)); Pot,weight,Cu %,cDen
# 1;  2; Unitless;                                         5|sp|4|cos|abd; (|(Cu %^6) - cos(weight)|); $\left(\left|\left(Cu %^6\right) - \left(\cos{ weight }\right)\right|\right)$; abs((Cu %).^6 - cos(weight)); Cu %,weight
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
1           ,  0.000000000000000e+00,  2.168605247947915e-02,  7.446808510638298e-01,  5.403023058681398e-01
2           ,  0.000000000000000e+00,  5.759263211367004e-02,  1.740689251585770e-01,  6.159995220061230e-01
3           ,  3.000000000000000e-02, -3.770909709045999e-02,  6.130735911329773e-01,  7.039180328756754e-01
4           ,  2.000000000000000e-02,  2.891417451961580e-02,  1.566270429258425e+00,  3.040481005946003e-01
5           ,  1.000000000000000e-01,  9.988082608403658e-02,  1.707201498162531e+00,  1.129382212740232e-01
6           ,  1.100000000000000e-01,  1.378832995269373e-01,  1.747863937724623e+00,  1.994670045950020e-02
7           ,  6.000000000000000e-02,  6.503254911941891e-02,  1.887092011081267e+00,  1.398866692547415e-01
8           ,  0.000000000000000e+00,  8.456959054771023e-03,  8.510638297872340e-01,  5.403023058681398e-01
9           ,  0.000000000000000e+00,  1.316322716510275e-02,  5.313520956371491e-01,  6.159995220061230e-01
10          ,  2.000000000000000e-02,  2.292129790909504e-02,  1.255086602524951e-01,  7.039180328756754e-01
11          ,  1.200000000000000e-01,  1.859551592658218e-01,  3.034108210742994e-01,  3.040481005946003e-01
12          ,  3.200000000000000e-01,  2.700659849384865e-01,  3.386417977950369e-01,  1.129382212740232e-01
13          ,  4.800000000000000e-01,  3.067166917221563e-01,  3.901745940120593e-01,  1.994670045950020e-02
14          ,  1.400000000000000e-01,  2.340272914258398e-01,  5.281051555214484e-01,  1.398866692547415e-01
15          ,  0.000000000000000e+00,  5.195029999461467e-04,  9.148936170212765e-01,  5.403023058681398e-01
16          ,  0.000000000000000e+00, -1.129507245204138e-02,  7.280357748771498e-01,  6.159995220061230e-01
17          ,  2.000000000000000e-02, -2.284185874931138e-02,  4.935173185037298e-01,  7.039180328756754e-01
18          ,  1.200000000000000e-01,  1.811184171903519e-01,  3.423059299669682e-01,  3.040481005946003e-01
19          ,  3.200000000000000e-01,  2.745848701409346e-01,  3.023027643547209e-01,  1.129382212740232e-01
20          ,  4.800000000000000e-01,  3.176352630426889e-01,  3.023718925576464e-01,  1.994670045950020e-02
21          ,  1.400000000000000e-01,  2.816469314748181e-01,  1.451674143240849e-01,  1.398866692547415e-01
22          ,  0.000000000000000e+00, -1.006377173982036e-02,  1.000000000000000e+00,  5.403023058681398e-01
23          ,  0.000000000000000e+00, -3.006864163753954e-02,  8.790051684028646e-01,  6.159995220061230e-01
24          ,  2.000000000000000e-02, -5.783982632370221e-02,  7.749567127463448e-01,  7.039180328756754e-01
25          ,  7.000000000000001e-02,  1.309504258734878e-01,  7.457364736571256e-01,  3.040481005946003e-01
26          ,  2.100000000000000e-01,  2.171466217736383e-01,  7.641977527562036e-01,  1.129382212740232e-01
27          ,  2.600000000000000e-01,  2.639028299372889e-01,  7.344662246705538e-01,  1.994670045950020e-02
28          ,  1.100000000000000e-01,  2.164615135634605e-01,  6.693619833780988e-01,  1.398866692547415e-01
29          ,  0.000000000000000e+00,  8.456959054771023e-03,  8.510638297872340e-01,  5.403023058681398e-01
30          ,  0.000000000000000e+00,  4.082657377720732e-02,  3.088947344579489e-01,  6.159995220061230e-01
31          ,  2.000000000000000e-02, -1.926685092699814e-02,  4.647685623427953e-01,  7.039180328756754e-01
32          ,  4.000000000000000e-02,  5.826704783224401e-02,  1.330226582802861e+00,  3.040481005946003e-01
33          ,  1.400000000000000e-01,  1.448725757022428e-01,  1.345396180995231e+00,  1.129382212740232e-01
34          ,  2.500000000000000e-01,  1.860551866858026e-01,  1.360485250299497e+00,  1.994670045950020e-02
35          ,  1.100000000000000e-01,  1.243442545465590e-01,  1.410131444401810e+00,  1.398866692547415e-01
