# c0 + a0 * (|cbrt(Sn %) - (weight^2)|) + a1 * (|(Pot / weight) - (Cu % / cDen)|) + a2 * (|(Cu %^6) - cbrt(weight)|)
# Property Label: $EtoH$; Unit of the Property: Unitless
# RMSE: 0.0553966120789609; Max AE: 0.149960902308358
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -4.198097496313864e-01, -1.199276474653009e-01, -2.780061105029163e-01,  3.845314600341826e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|cbrt|4|sq|abd; (|cbrt(Sn %) - (weight^2)|); $\left(\left|\left(\sqrt[3]{ Sn % }\right) - \left(weight^2\right)\right|\right)$; abs(nthroot(Sn %, 3) - (weight).^2); Sn %,weight
# 1;  2; Unitless;                                         1|4|div|5|0|div|abd; (|(Pot / weight) - (Cu % / cDen)|); $\left(\left|\left(\frac{ Pot }{ weight } \right) - \left(\frac{ Cu % }{ cDen } \right)\right|\right)$; abs((Pot ./ weight) - (Cu % ./ cDen)); Pot,weight,Cu %,cDen
# 2;  2; Unitless;                                         5|sp|4|cbrt|abd; (|(Cu %^6) - cbrt(weight)|); $\left(\left|\left(Cu %^6\right) - \left(\sqrt[3]{ weight }\right)\right|\right)$; abs((Cu %).^6 - nthroot(weight, 3)); Cu %,weight
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
1           ,  0.000000000000000e+00,  1.721752695072304e-02,  0.000000000000000e+00,  7.446808510638298e-01,  1.000000000000000e+00
2           ,  0.000000000000000e+00,  5.024712154952874e-02,  1.055582818405647e-01,  1.740689251585770e-01,  9.679437097111668e-01
3           ,  3.000000000000000e-02, -2.501431459502242e-02,  2.044105309151730e-01,  6.130735911329773e-01,  9.000081576026402e-01
4           ,  2.000000000000000e-02,  5.958625484013121e-02,  1.256978133637323e-01,  1.566270429258425e+00,  3.033635109984233e-01
5           ,  1.000000000000000e-01,  1.315089448270179e-01,  5.643700307082333e-02,  1.707201498162531e+00,  8.844788198973419e-02
6           ,  1.100000000000000e-01,  1.672146087114857e-01,  9.052754443839073e-03,  1.747863937724623e+00,  1.402561475483222e-02
7           ,  6.000000000000000e-02, -1.435670811788495e-02,  2.865509330176834e-01,  1.887092011081267e+00,  1.880418641560231e-01
8           ,  0.000000000000000e+00,  4.459266582073962e-03,  0.000000000000000e+00,  8.510638297872340e-01,  1.000000000000000e+00
9           ,  0.000000000000000e+00,  7.398991435089523e-03,  1.055582818405647e-01,  5.313520956371491e-01,  9.679437097111668e-01
10          ,  2.000000000000000e-02,  3.345820055205585e-02,  2.044105309151730e-01,  1.255086602524951e-01,  9.000081576026402e-01
11          ,  1.200000000000000e-01,  2.110380367286050e-01,  1.256978133637323e-01,  3.034108210742994e-01,  3.033635109984233e-01
