# c0 + a0 * (|(Cu %^6) - Sn %|) + a1 * ((Pot^6)^6) + a2 * (|(weight * Sn %) - (|Cu % - weight|)|) + a3 * ((|Cu % - weight|) * (Cu %^6))
# Property Label: $FORM$; Unit of the Property: Unitless
# RMSE: 0.0247461306183247; Max AE: 0.0511964405087141
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -5.364780469514464e-01, -2.936337941936263e-01, -3.418184625384927e+00,  2.256351871067753e+00,  1.157211613724235e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         5|sp|2|abd; (|(Cu %^6) - Sn %|); $\left(\left|\left(Cu %^6\right) - Sn %\right|\right)$; abs((Cu %).^6 - Sn %); Cu %,Sn %
# 1;  2; Unitless;                                         1|sp|sp; ((Pot^6)^6); $\left(\left(Pot^6\right)^6\right)$; ((Pot).^6).^6; Pot
# 2;  2; Unitless;                                         4|2|mult|5|4|abd|abd; (|(weight * Sn %) - (|Cu % - weight|)|); $\left(\left|\left(weight Sn %\right) - \left(\left|Cu % - weight\right|\right)\right|\right)$; abs((weight .* Sn %) - abs(Cu % - weight)); weight,Sn %,Cu %,weight
# 3;  2; Unitless;                                         5|4|abd|5|sp|mult; ((|Cu % - weight|) * (Cu %^6)); $\left(\left(\left|Cu % - weight\right|\right) \left(Cu %^6\right)\right)$; (abs(Cu % - weight) .* (Cu %).^6); Cu %,weight,Cu %
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
1           ,  6.100000000000000e-01,  6.207263435210988e-01,  1.000000000000000e+00,  2.459952441483261e-05,  0.000000000000000e+00,  0.000000000000000e+00
2           ,  6.600000000000000e-01,  6.646281491195692e-01,  7.999360000000001e-01,  2.957869096331033e-06,  1.858781905483942e-02,  4.525189790245123e-05
3           ,  5.200000000000000e-01,  5.096872534368416e-01,  4.843750000000000e-01,  9.769589904373583e-07,  1.161738690927470e-01,  4.182066590851656e-03
4           ,  4.200000000000000e-01,  4.184494444882064e-01,  4.314410000000002e-01,  3.115287211947773e-07,  2.600485216072783e-01,  1.691183057922669e-01
5           ,  1.900000000000000e-01,  1.963362778931385e-01,  6.850918906249999e-01,  9.568465255498675e-08,  3.635337376800606e-01,  2.877595879446629e-01
6           ,  1.400000000000000e-01,  1.353394631559613e-01,  8.029720049289999e-01,  9.568465255498675e-08,  4.042772504422542e-01,  3.504768128072833e-01
7           ,  1.100000000000000e-01,  8.083513919787261e-02,  1.000000000000000e+00,  7.983002083786626e-09,  4.646954763709881e-01,  4.646954763709881e-01
8           ,  6.300000000000000e-01,  6.198495859590574e-01,  1.000000000000000e+00,  3.010487318594608e-03,  0.000000000000000e+00,  0.000000000000000e+00
9           ,  7.000000000000000e-01,  6.644895438512164e-01,  7.999360000000001e-01,  4.749923252577717e-04,  1.858781905483942e-02,  4.525189790245123e-05
10          ,  4.800000000000000e-01,  5.096341398180277e-01,  4.843750000000000e-01,  1.818608349750946e-04,  1.161738690927470e-01,  4.182066590851656e-03
11          ,  4.200000000000000e-01,  4.184296212906050e-01,  4.314410000000002e-01,  6.782146113827191e-05,  2.600485216072783e-01,  1.691183057922669e-01
