# c0 + a0 * (|sin(cDen) - (|Cu % - Sn %|)|) + a1 * (|cbrt(Sn %) - (weight^2)|) + a2 * (|(exp(-1.0 * Pot)) - (Cu %^6)|) + a3 * ((Pot^6)^6) + a4 * (|(weight * Sn %) - (|Cu % - weight|)|)
# Property Label: $FORM$; Unit of the Property: Unitless
# RMSE: 0.0220273495701746; Max AE: 0.0475123349414889
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -8.355848731325252e-02,  2.917536395954314e-01, -2.191957658511366e-01, -3.299786804168457e-01, -1.300602102341639e+00,  7.594323033215936e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|sin|5|2|abd|abd; (|sin(cDen) - (|Cu % - Sn %|)|); $\left(\left|\left(\sin{ cDen }\right) - \left(\left|Cu % - Sn %\right|\right)\right|\right)$; abs(sin(cDen) - abs(Cu % - Sn %)); cDen,Cu %,Sn %
# 1;  2; Unitless;                                         2|cbrt|4|sq|abd; (|cbrt(Sn %) - (weight^2)|); $\left(\left|\left(\sqrt[3]{ Sn % }\right) - \left(weight^2\right)\right|\right)$; abs(nthroot(Sn %, 3) - (weight).^2); Sn %,weight
# 2;  2; Unitless;                                         1|nexp|5|sp|abd; (|(exp(-1.0 * Pot)) - (Cu %^6)|); $\left(\left|\left(\exp{ \left(-Pot \right) } \right) - \left(Cu %^6\right)\right|\right)$; abs(exp(-1.0 * (Pot)) - (Cu %).^6); Pot,Cu %
# 3;  2; Unitless;                                         1|sp|sp; ((Pot^6)^6); $\left(\left(Pot^6\right)^6\right)$; ((Pot).^6).^6; Pot
# 4;  2; Unitless;                                         4|2|mult|5|4|abd|abd; (|(weight * Sn %) - (|Cu % - weight|)|); $\left(\left|\left(weight Sn %\right) - \left(\left|Cu % - weight\right|\right)\right|\right)$; abs((weight .* Sn %) - abs(Cu % - weight)); weight,Sn %,Cu %,weight
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
1           ,  6.100000000000000e-01,  5.991126283016711e-01,  6.728053032038478e-01,  0.000000000000000e+00,  4.748858350665527e-01,  2.459952441483261e-05,  0.000000000000000e+00
2           ,  6.600000000000000e-01,  6.346537660079770e-01,  2.728053032038479e-01,  1.055582818405647e-01,  4.954658625232768e-01,  2.957869096331033e-06,  1.858781905483942e-02
3           ,  5.200000000000000e-01,  5.331047282042544e-01,  3.271946967961522e-01,  2.044105309151730e-01,  4.905610123895797e-01,  9.769589904373583e-07,  1.161738690927470e-01
4           ,  4.200000000000000e-01,  4.152286717750255e-01,  4.728053032038478e-01,  1.256978133637323e-01,  1.436968196853039e-02,  3.115287211947773e-07,  2.600485216072783e-01
5           ,  1.900000000000000e-01,  2.098706213167758e-01,  5.728053032038477e-01,  5.643700307082333e-02,  2.069011832827571e-01,  9.568465255498675e-08,  3.635337376800606e-01
6           ,  1.400000000000000e-01,  1.182577498560738e-01,  6.128053032038477e-01,  9.052754443839073e-03,  3.047812975867571e-01,  9.568465255498675e-08,  4.042772504422542e-01
7           ,  1.100000000000000e-01,  8.404648607105489e-02,  6.728053032038478e-01,  2.865509330176834e-01,  4.488480193166992e-01,  7.983002083786626e-09,  4.646954763709881e-01
8           ,  6.300000000000000e-01,  6.253625224550766e-01,  4.725846142281345e-01,  0.000000000000000e+00,  4.269604769868339e-01,  3.010487318594608e-03,  0.000000000000000e+00
9           ,  7.000000000000000e-01,  6.621898484390026e-01,  7.258461422813456e-02,  1.055582818405647e-01,  4.454571144263922e-01,  4.749923252577717e-04,  1.858781905483942e-02
10          ,  4.800000000000000e-01,  5.275123349414889e-01,  5.274153857718655e-01,  2.044105309151730e-01,  4.394768483497830e-01,  1.818608349750946e-04,  1.161738690927470e-01
11          ,  4.200000000000000e-01,  4.204983045590398e-01,  2.725846142281345e-01,  1.256978133637323e-01,  6.655238829401489e-02,  6.782146113827191e-05,  2.600485216072783e-01
12          ,  2.300000000000000e-01,  2.127028598210772e-01,  3.725846142281344e-01,  5.643700307082333e-02,  2.702032789190146e-01,  6.782146113827191e-05,  3.635337376800606e-01
13          ,  9.000000000000000e-02,  1.232955997089248e-01,  4.125846142281344e-01,  9.052754443839073e-03,  3.580861698624472e-01,  2.459952441483261e-05,  4.042772504422542e-01
14          ,  9.000000000000000e-02,  9.091995437188458e-02,  4.725846142281345e-01,  2.865509330176834e-01,  4.938139876104203e-01,  9.769589904373583e-07,  4.646954763709881e-01
15          ,  6.300000000000000e-01,  6.332834264063902e-01,  2.983021238532647e-01,  0.000000000000000e+00,  4.005592365090020e-01,  4.067630687958731e-02,  0.000000000000000e+00
16          ,  7.000000000000000e-01,  6.621276891105653e-01,  1.016978761467352e-01,  1.055582818405647e-01,  4.091090851937951e-01,  1.743618902897488e-02,  1.858781905483942e-02
