# c0 + a0 * (|(|Cu % - cDen|) - sqrt(Cu %)|) + a1 * (|(pH * cDen) - (|Cu % - Sn %|)|) + a2 * (|(Cu %^6) - (exp(-1.0 * weight))|) + a3 * (|cbrt(Sn %) - (weight^2)|) + a4 * ((Pot^6)^6) + a5 * (|(weight * Sn %) - (|Cu % - weight|)|)
# Property Label: $FORM$; Unit of the Property: Unitless
# RMSE: 0.0169185153157109; Max AE: 0.0363064065091911
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      a5                      c0
# all , -1.001127428547696e-01, -9.893185561627102e-02, -2.577044948418116e-01,  3.546914036535919e-01, -2.754312170894154e-01, -1.318852499278862e+00,  8.093928041557034e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         5|0|abd|5|sqrt|abd; (|(|Cu % - cDen|) - sqrt(Cu %)|); $\left(\left|\left(\left|Cu % - cDen\right|\right) - \left(\sqrt{ Cu % }\right)\right|\right)$; abs(abs(Cu % - cDen) - sqrt(Cu %)); Cu %,cDen,Cu %
# 1;  2; Unitless;                                         3|0|mult|5|2|abd|abd; (|(pH * cDen) - (|Cu % - Sn %|)|); $\left(\left|\left(pH cDen\right) - \left(\left|Cu % - Sn %\right|\right)\right|\right)$; abs((pH .* cDen) - abs(Cu % - Sn %)); pH,cDen,Cu %,Sn %
# 2;  2; Unitless;                                         5|sp|4|nexp|abd; (|(Cu %^6) - (exp(-1.0 * weight))|); $\left(\left|\left(Cu %^6\right) - \left(\exp{ \left(-weight \right) } \right)\right|\right)$; abs((Cu %).^6 - exp(-1.0 * (weight))); Cu %,weight
# 3;  2; Unitless;                                         2|cbrt|4|sq|abd; (|cbrt(Sn %) - (weight^2)|); $\left(\left|\left(\sqrt[3]{ Sn % }\right) - \left(weight^2\right)\right|\right)$; abs(nthroot(Sn %, 3) - (weight).^2); Sn %,weight
# 4;  2; Unitless;                                         1|sp|sp; ((Pot^6)^6); $\left(\left(Pot^6\right)^6\right)$; ((Pot).^6).^6; Pot
# 5;  2; Unitless;                                         4|2|mult|5|4|abd|abd; (|(weight * Sn %) - (|Cu % - weight|)|); $\left(\left|\left(weight Sn %\right) - \left(\left|Cu % - weight\right|\right)\right|\right)$; abs((weight .* Sn %) - abs(Cu % - weight)); weight,Sn %,Cu %,weight
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      ,  Feature 5 Value      
1           ,  6.100000000000000e-01,  6.152563584332088e-01,  3.333333333333333e-01,  6.666666666666667e-01,  3.678794411714423e-01,  0.000000000000000e+00,  2.459952441483261e-05,  0.000000000000000e+00
2           ,  6.600000000000000e-01,  6.604916345448685e-01,  3.138802621666244e-01,  2.666666666666668e-01,  4.036450213414432e-01,  1.055582818405647e-01,  2.957869096331033e-06,  1.858781905483942e-02
3           ,  5.200000000000000e-01,  5.260223895312084e-01,  5.404401145198809e-01,  3.333333333333333e-01,  4.484763788062526e-01,  2.044105309151730e-01,  9.769589904373583e-07,  1.161738690927470e-01
4           ,  4.200000000000000e-01,  4.195202370522726e-01,  3.820166313838471e-01,  4.666666666666667e-01,  2.746494753266993e-02,  1.256978133637323e-01,  3.115287211947773e-07,  2.600485216072783e-01
5           ,  1.900000000000000e-01,  2.160419301507831e-01,  3.580127678142296e-01,  5.666666666666667e-01,  1.630478505611630e-01,  5.643700307082333e-02,  9.568465255498675e-08,  3.635337376800606e-01
6           ,  1.400000000000000e-01,  1.186759898768175e-01,  3.482191135129438e-01,  6.066666666666667e-01,  2.555866569418261e-01,  9.052754443839073e-03,  9.568465255498675e-08,  4.042772504422542e-01
7           ,  1.100000000000000e-01,  9.201883858067614e-02,  3.333333333333333e-01,  6.666666666666667e-01,  4.145090328396827e-01,  2.865509330176834e-01,  7.983002083786626e-09,  4.646954763709881e-01
8           ,  6.300000000000000e-01,  6.141715323376324e-01,  5.555555555555556e-01,  4.444444444444444e-01,  3.678794411714423e-01,  0.000000000000000e+00,  3.010487318594608e-03,  0.000000000000000e+00
9           ,  7.000000000000000e-01,  7.045937545136645e-01,  9.165803994440214e-02,  4.444444444444451e-02,  4.036450213414432e-01,  1.055582818405647e-01,  4.749923252577717e-04,  1.858781905483942e-02
10          ,  4.800000000000000e-01,  4.928640735665039e-01,  6.515512256309920e-01,  5.555555555555556e-01,  4.484763788062526e-01,  2.044105309151730e-01,  1.818608349750946e-04,  1.161738690927470e-01
11          ,  4.200000000000000e-01,  4.192392233230886e-01,  6.042388536060693e-01,  2.444444444444445e-01,  2.746494753266993e-02,  1.256978133637323e-01,  6.782146113827191e-05,  2.600485216072783e-01
12          ,  2.300000000000000e-01,  2.157608569714043e-01,  5.802349900364520e-01,  3.444444444444443e-01,  1.630478505611630e-01,  5.643700307082333e-02,  6.782146113827191e-05,  3.635337376800606e-01
13          ,  9.000000000000000e-02,  1.184068213680753e-01,  5.704413357351661e-01,  3.844444444444444e-01,  2.555866569418261e-01,  9.052754443839073e-03,  2.459952441483261e-05,  4.042772504422542e-01
14          ,  9.000000000000000e-02,  9.175615230810727e-02,  5.555555555555556e-01,  4.444444444444444e-01,  4.145090328396827e-01,  2.865509330176834e-01,  9.769589904373583e-07,  4.646954763709881e-01
15          ,  6.300000000000000e-01,  6.035347704269450e-01,  7.777777777777778e-01,  2.222222222222222e-01,  3.678794411714423e-01,  0.000000000000000e+00,  4.067630687958731e-02,  0.000000000000000e+00
16          ,  7.000000000000000e-01,  6.828361967572006e-01,  1.305641822778201e-01,  1.777777777777777e-01,  4.036450213414432e-01,  1.055582818405647e-01,  1.743618902897488e-02,  1.858781905483942e-02
17          ,  4.800000000000000e-01,  4.911595681528770e-01,  4.293290034087698e-01,  7.777777777777778e-01,  4.484763788062526e-01,  2.044105309151730e-01,  7.323116720002253e-03,  1.161738690927470e-01
18          ,  4.200000000000000e-01,  4.169784691332635e-01,  8.264610758282915e-01,  2.222222222222225e-02,  2.746494753266993e-02,  1.256978133637323e-01,  7.323116720002253e-03,  2.600485216072783e-01
19          ,  2.300000000000000e-01,  2.146879355464647e-01,  8.024572122586742e-01,  1.222222222222221e-01,  1.630478505611630e-01,  5.643700307082333e-02,  3.010487318594608e-03,  3.635337376800606e-01
20          ,  9.000000000000000e-02,  1.173219952724990e-01,  7.926635579573883e-01,  1.622222222222222e-01,  2.555866569418261e-01,  9.052754443839073e-03,  3.010487318594608e-03,  4.042772504422542e-01
21          ,  9.000000000000000e-02,  9.147532185919213e-02,  7.777777777777778e-01,  2.222222222222222e-01,  4.145090328396827e-01,  2.865509330176834e-01,  6.782146113827191e-05,  4.646954763709881e-01
22          ,  3.300000000000000e-01,  3.390446586617438e-01,  1.000000000000000e+00,  0.000000000000000e+00,  3.678794411714423e-01,  0.000000000000000e+00,  1.000000000000000e+00,  0.000000000000000e+00
23          ,  5.000000000000000e-01,  5.164157471217317e-01,  3.527864045000422e-01,  3.999999999999999e-01,  4.036450213414432e-01,  1.055582818405647e-01,  4.610617080718560e-01,  1.858781905483942e-02
24          ,  3.900000000000000e-01,  3.664482150827320e-01,  2.071067811865476e-01,  1.000000000000000e+00,  4.484763788062526e-01,  2.044105309151730e-01,  4.610617080718560e-01,  1.161738690927470e-01
25          ,  3.700000000000000e-01,  3.416202220598355e-01,  8.486832980505138e-01,  2.000000000000000e-01,  2.746494753266993e-02,  1.256978133637323e-01,  2.089910126052689e-01,  2.600485216072783e-01
