# c0 + a0 * (cbrt(Sn %) + (Cu % + pH)) + a1 * ((cDen^6) * (Pot^3))
# Property Label: $H2$; Unit of the Property: Unitless
# RMSE: 0.0180181631437273; Max AE: 0.0501975599368865
# Coefficients
# Task   a0                      a1                      c0
# all , -1.405129507789802e-01,  2.692741153477351e-01,  3.783296311411321e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         2|cbrt|5|3|add|add; (cbrt(Sn %) + (Cu % + pH)); $\left(\left(\sqrt[3]{ Sn % }\right) + \left(Cu % + pH\right)\right)$; (nthroot(Sn %, 3) + (Cu % + pH)); Sn %,Cu %,pH
# 1;  2; Unitless;                                         0|sp|1|cb|mult; ((cDen^6) * (Pot^3)); $\left(\left(cDen^6\right) \left(Pot^3\right)\right)$; ((cDen).^6 .* (Pot).^3); cDen,Pot
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
1           ,  1.200000000000000e-01,  9.745626743946509e-02,  2.000000000000000e+00,  5.664779776417780e-04
2           ,  7.000000000000001e-02,  7.940127583963091e-02,  2.128317766722556e+00,  4.748109407000017e-04
3           ,  5.000000000000000e-02,  5.615158186795939e-02,  2.293700525984100e+00,  4.329411165333127e-04
4           ,  5.000000000000000e-02,  4.624067879096739e-02,  2.364158883361278e+00,  3.936080567213110e-04
5           ,  5.000000000000000e-02,  5.266002228340820e-02,  2.318403149864039e+00,  3.567324873779126e-04
6           ,  5.000000000000000e-02,  5.795453611470133e-02,  2.280723250595386e+00,  3.567324873779126e-04
7           ,  1.100000000000000e-01,  9.738182896559389e-02,  2.000000000000000e+00,  2.900367245525903e-04
8           ,  1.200000000000000e-01,  1.021840234893081e-01,  2.000000000000000e+00,  1.812388799359411e-02
9           ,  1.000000000000000e-01,  8.345766353139027e-02,  2.128317766722556e+00,  1.553896846850775e-02
10          ,  8.000000000000000e-02,  5.989752589473741e-02,  2.293700525984100e+00,  1.434420778968004e-02
11          ,  7.000000000000001e-02,  4.969242458727352e-02,  2.364158883361278e+00,  1.321231434733010e-02
12          ,  7.000000000000001e-02,  5.612169771602722e-02,  2.318403149864039e+00,  1.321231434733010e-02
13          ,  6.000000000000000e-02,  6.112789293389687e-02,  2.280723250595386e+00,  1.214158902695855e-02
14          ,  1.500000000000000e-01,  9.980244006311351e-02,  2.000000000000000e+00,  9.279430652720183e-03
15          ,  1.200000000000000e-01,  1.429536036872186e-01,  2.000000000000000e+00,  1.695293810364789e-01
16          ,  1.000000000000000e-01,  1.218119134074855e-01,  2.128317766722556e+00,  1.579746787355912e-01
17          ,  8.000000000000000e-02,  9.560680040333452e-02,  2.293700525984100e+00,  1.469573052739402e-01
18          ,  7.000000000000001e-02,  8.570648870122731e-02,  2.364158883361278e+00,  1.469573052739402e-01
19          ,  7.000000000000001e-02,  8.931031211528905e-02,  2.318403149864039e+00,  1.364644671077346e-01
20          ,  6.000000000000000e-02,  9.460482594658216e-02,  2.280723250595386e+00,  1.364644671077346e-01
21          ,  1.500000000000000e-01,  1.240918177540046e-01,  2.000000000000000e+00,  9.948259652153851e-02
22          ,  3.700000000000000e-01,  3.665778449309067e-01,  2.000000000000000e+00,  1.000000000000000e+00
23          ,  3.200000000000000e-01,  3.317229297593985e-01,  2.128317766722556e+00,  9.375186615682456e-01
24          ,  3.300000000000000e-01,  3.084845102475892e-01,  2.293700525984100e+00,  9.375186615682456e-01
25          ,  3.000000000000000e-01,  2.824754217770898e-01,  2.364158883361278e+00,  8.776956936324319e-01
26          ,  2.900000000000000e-01,  2.889046949058436e-01,  2.318403149864039e+00,  8.776956936324319e-01
27          ,  2.700000000000000e-01,  2.787907008026627e-01,  2.280723250595386e+00,  8.204733055296033e-01
28          ,  2.800000000000000e-01,  2.894574976103235e-01,  2.000000000000000e+00,  7.135991061710795e-01
29          ,  1.600000000000000e-01,  1.577663677124644e-01,  1.570818505338078e+00,  5.833456899862828e-04
30          ,  1.300000000000000e-01,  1.397499112965236e-01,  1.699136272060634e+00,  6.347862957661621e-04
31          ,  1.000000000000000e-01,  1.165114917847143e-01,  1.864519031322178e+00,  6.347862957661621e-04
32          ,  1.000000000000000e-01,  1.066260349726168e-01,  1.934977388699356e+00,  6.899527197300274e-04
33          ,  1.000000000000000e-01,  1.130882593400053e-01,  1.889221655202117e+00,  8.123233330072873e-04
34          ,  9.000000000000000e-02,  1.183917305169113e-01,  1.851541755933464e+00,  8.455881182291264e-04
35          ,  1.700000000000000e-01,  1.578369828103361e-01,  1.570818505338078e+00,  8.455881182291264e-04
