# c0 + a0 * (|sin(cDen) - (Pot^2)|) + a1 * (|sin(cDen) - (Pot * cDen)|) + a2 * (cbrt(Sn %) + (Cu % - Pot)) + a3 * ((exp(-1.0 * pH)) + (cDen^6))
# Property Label: $H2$; Unit of the Property: Unitless
# RMSE: 0.0105421567860856; Max AE: 0.0201348385932847
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  8.129949672597807e-02,  6.571512003508552e-01, -1.630455480912119e-01,  1.829885482759683e-01,  1.354139158087003e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|sin|1|sq|abd; (|sin(cDen) - (Pot^2)|); $\left(\left|\left(\sin{ cDen }\right) - \left(Pot^2\right)\right|\right)$; abs(sin(cDen) - (Pot).^2); cDen,Pot
# 1;  2; Unitless;                                         0|sin|1|0|mult|abd; (|sin(cDen) - (Pot * cDen)|); $\left(\left|\left(\sin{ cDen }\right) - \left(Pot cDen\right)\right|\right)$; abs(sin(cDen) - (Pot .* cDen)); cDen,Pot,cDen
# 2;  2; Unitless;                                         2|cbrt|5|1|sub|add; (cbrt(Sn %) + (Cu % - Pot)); $\left(\left(\sqrt[3]{ Sn % }\right) + \left(Cu % - Pot\right)\right)$; (nthroot(Sn %, 3) + (Cu % - Pot)); Sn %,Cu %,Pot
# 3;  2; Unitless;                                         3|nexp|0|sp|add; ((exp(-1.0 * pH)) + (cDen^6)); $\left(\left(\exp{ \left(-pH \right) } \right) + \left(cDen^6\right)\right)$; (exp(-1.0 * (pH)) + (cDen).^6); pH,cDen
# Number of Samples Per Task
# Task, n_samples               
# all , 35                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
1           ,  1.200000000000000e-01,  1.098590651106477e-01,  2.273548731449976e-01,  7.896774644154231e-02,  2.553191489361702e-01,  3.692511832839252e-01
2           ,  7.000000000000001e-02,  8.631529889922983e-02,  1.657885535433678e-01,  9.315214360466290e-02,  4.261901071480877e-01,  3.692511832839252e-01
3           ,  5.000000000000000e-02,  5.814972473506756e-02,  1.363634743220008e-01,  1.002443421862231e-01,  6.128494621543126e-01,  3.692511832839252e-01
4           ,  5.000000000000000e-02,  4.553475921512050e-02,  1.078437821535987e-01,  1.073365407677834e-01,  7.045844152761715e-01,  3.692511832839252e-01
5           ,  5.000000000000000e-02,  5.194159134946302e-02,  8.022947703816186e-02,  1.144287393493437e-01,  6.801052775236132e-01,  3.692511832839252e-01
6           ,  5.000000000000000e-02,  5.808513117774217e-02,  8.022947703816186e-02,  1.144287393493437e-01,  6.424253782549604e-01,  3.692511832839252e-01
7           ,  1.100000000000000e-01,  1.019697569441978e-01,  2.771702796618364e-02,  1.286131365124643e-01,  4.042553191489362e-01,  3.692511832839252e-01
8           ,  1.200000000000000e-01,  1.138450891999642e-01,  1.968942566002485e-01,  5.460214700117993e-02,  1.489361702127660e-01,  3.972806352833005e-01
9           ,  1.000000000000000e-01,  9.577944361906210e-02,  1.262740664689673e-01,  7.824280893971425e-02,  3.198071284246834e-01,  3.972806352833005e-01
10          ,  8.000000000000000e-02,  7.035292977015774e-02,  9.232205198277466e-02,  9.006313990898135e-02,  5.064664834309083e-01,  3.972806352833005e-01
11          ,  7.000000000000001e-02,  6.047702456546858e-02,  5.927542454954682e-02,  1.018834708782485e-01,  5.982014365527673e-01,  3.972806352833005e-01
12          ,  7.000000000000001e-02,  6.793729321184139e-02,  5.927542454954682e-02,  1.018834708782485e-01,  5.524457030555280e-01,  3.972806352833005e-01
13          ,  6.000000000000000e-02,  7.576645684334816e-02,  2.713418416928426e-02,  1.137038018475157e-01,  5.360423995315561e-01,  3.972806352833005e-01
14          ,  1.500000000000000e-01,  1.374187684061312e-01,  6.385721465371252e-02,  1.491647947553171e-01,  3.191489361702128e-01,  3.972806352833005e-01
15          ,  1.200000000000000e-01,  1.249915082805657e-01,  1.353324543195388e-01,  9.886048203146425e-03,  8.510638297872353e-02,  5.892567906796662e-01
16          ,  1.000000000000000e-01,  9.535407988358709e-02,  9.685350456852038e-02,  6.662415153827483e-03,  2.347007454459601e-01,  5.892567906796662e-01
17          ,  8.000000000000000e-02,  7.274023386168894e-02,  5.927994187046692e-02,  2.321087851080150e-02,  4.213601004521850e-01,  5.892567906796662e-01
18          ,  7.000000000000001e-02,  6.125231236552044e-02,  5.927994187046692e-02,  2.321087851080150e-02,  4.918184578293631e-01,  5.892567906796662e-01
19          ,  7.000000000000001e-02,  7.313726513037874e-02,  2.261176622537875e-02,  3.975934186777541e-02,  4.673393200768046e-01,  5.892567906796662e-01
20          ,  6.000000000000000e-02,  7.928080495865789e-02,  2.261176622537875e-02,  3.975934186777541e-02,  4.296594208081518e-01,  5.892567906796662e-01
21          ,  1.500000000000000e-01,  1.621863259484146e-01,  1.150070658253229e-01,  1.059531952956715e-01,  2.340425531914894e-01,  5.892567906796662e-01
22          ,  3.700000000000000e-01,  3.809135265128877e-01,  1.585290151921035e-01,  1.585290151921035e-01,  0.000000000000000e+00,  1.367879441171442e+00
23          ,  3.200000000000000e-01,  3.391181419637695e-01,  1.164285172292241e-01,  1.372524194474225e-01,  1.495943624672368e-01,  1.367879441171442e+00
24          ,  3.300000000000000e-01,  3.121532193351342e-01,  1.164285172292241e-01,  1.372524194474225e-01,  3.149771217287808e-01,  1.367879441171442e+00
25          ,  3.000000000000000e-01,  2.798651614067153e-01,  7.523340631931030e-02,  1.159758237027417e-01,  4.067120748506397e-01,  1.367879441171442e+00
26          ,  2.900000000000000e-01,  2.873254300530881e-01,  7.523340631931030e-02,  1.159758237027417e-01,  3.609563413534004e-01,  1.367879441171442e+00
27          ,  2.700000000000000e-01,  2.727424409608653e-01,  3.494368246236157e-02,  9.469922795806096e-02,  3.445530378294284e-01,  1.367879441171442e+00
28          ,  2.800000000000000e-01,  2.842595663351969e-01,  4.291960409264084e-02,  5.214603646869920e-02,  1.063829787234043e-01,  1.367879441171442e+00
29          ,  1.600000000000000e-01,  1.539724445440130e-01,  4.160782613429504e-01,  4.156471436249698e-02,  1.489361702127660e-01,  5.660090659254351e-01
30          ,  1.300000000000000e-01,  1.330133649721381e-01,  4.118532687672757e-01,  4.200720102800615e-02,  2.772539369353216e-01,  5.660925146444020e-01
31          ,  1.000000000000000e-01,  1.060484423435027e-01,  4.118532687672757e-01,  4.200720102800615e-02,  4.426366961968657e-01,  5.660925146444020e-01
32          ,  1.000000000000000e-01,  9.452063375282194e-02,  4.076344481591916e-01,  4.244351572592475e-02,  5.130950535740439e-01,  5.661820075137021e-01
33          ,  1.000000000000000e-01,  1.018938473281182e-01,  3.992156560605975e-01,  4.329729600418791e-02,  4.673393200768046e-01,  5.663805213290503e-01
34          ,  9.000000000000000e-02,  1.080141203801109e-01,  3.971149455759618e-01,  4.350675353374089e-02,  4.296594208081518e-01,  5.664344846071141e-01
35          ,  1.700000000000000e-01,  1.537847966353822e-01,  3.971149455759618e-01,  4.350675353374089e-02,  1.489361702127660e-01,  5.664344846071141e-01
